Alice Training On size: w=5, h=5, c=4
batch,num_episodes,win_rate,min_score,avg_score,max_score,avg_length,actor_loss,value_loss,entropy_loss
100,820,0.8110,-10.0000,6.2195,10.0000,12.1976,0.319539,0.005838,-0.019874
200,775,0.9613,-10.0000,9.2258,10.0000,12.8890,0.129730,0.006472,-0.010718
300,771,0.9909,-10.0000,9.8184,10.0000,12.9767,-0.220113,0.002762,-0.005907
400,769,1.0000,10.0000,10.0000,10.0000,13.0000,-0.154676,0.001474,-0.003058
500,769,1.0000,10.0000,10.0000,10.0000,13.0000,0.040044,0.000099,-0.001564
600,1069,0.5285,-10.0000,0.5706,10.0000,9.3433,-0.106912,0.077182,-0.008706
700,770,1.0000,10.0000,10.0000,10.0000,13.0000,-0.077353,0.001684,-0.005694
800,769,0.9987,-10.0000,9.9740,10.0000,12.9948,0.113270,0.000678,-0.005606
900,770,0.9987,-10.0000,9.9740,10.0000,12.9948,0.096603,0.000726,-0.003655
1000,769,1.0000,10.0000,10.0000,10.0000,13.0000,0.084884,0.000670,-0.003368
1100,963,0.6397,-10.0000,2.7934,10.0000,10.3759,0.007396,0.006892,-0.003577
1200,770,0.9987,-10.0000,9.9740,10.0000,12.9974,-0.091597,0.002235,-0.002295
1300,769,1.0000,10.0000,10.0000,10.0000,13.0000,-0.168870,0.000996,-0.002177
1400,769,1.0000,10.0000,10.0000,10.0000,13.0000,-0.021869,0.000248,-0.001404
1500,769,1.0000,10.0000,10.0000,10.0000,13.0000,-0.006101,0.000273,-0.000890
1600,769,1.0000,10.0000,10.0000,10.0000,13.0000,-0.011424,0.000033,-0.000787
1700,770,1.0000,10.0000,10.0000,10.0000,13.0000,-0.013927,0.000345,-0.001456
1800,769,1.0000,10.0000,10.0000,10.0000,13.0000,-0.002180,0.000064,-0.001036
1900,769,1.0000,10.0000,10.0000,10.0000,13.0000,0.014293,0.000098,-0.000702
2000,769,1.0000,10.0000,10.0000,10.0000,13.0000,-0.018469,0.000056,-0.000674
2100,804,0.9366,-10.0000,8.7313,10.0000,12.4328,-0.085441,0.000581,-0.001185
2200,770,0.9987,-10.0000,9.9740,10.0000,12.9909,-0.000410,0.000353,-0.001000
2300,769,1.0000,10.0000,10.0000,10.0000,13.0000,-0.008466,0.000114,-0.001141
2400,770,0.9961,-10.0000,9.9221,10.0000,12.9766,-0.010924,0.000160,-0.001066
2500,770,0.9987,-10.0000,9.9740,10.0000,12.9909,-0.008533,0.000025,-0.000580
2600,770,0.9987,-10.0000,9.9740,10.0000,12.9909,-0.001730,0.000007,-0.000402
2700,769,1.0000,10.0000,10.0000,10.0000,13.0000,0.043173,0.000007,-0.000840
2800,770,0.9974,-10.0000,9.9481,10.0000,12.9831,0.000359,0.000086,-0.000206
2900,770,1.0000,10.0000,10.0000,10.0000,13.0000,0.000065,0.000006,-0.000132
3000,769,1.0000,10.0000,10.0000,10.0000,13.0000,-0.000763,0.000004,-0.000116
3100,769,1.0000,10.0000,10.0000,10.0000,13.0000,0.000113,0.000006,-0.000159
3200,770,0.9974,-10.0000,9.9481,10.0000,12.9818,-0.000092,0.002469,-0.000090
3300,770,1.0000,10.0000,10.0000,10.0000,13.0000,0.000466,0.000002,-0.000086
3400,769,1.0000,10.0000,10.0000,10.0000,13.0000,0.000281,0.000001,-0.000065
3500,769,1.0000,10.0000,10.0000,10.0000,13.0000,-0.000105,0.000015,-0.000087
3600,769,1.0000,10.0000,10.0000,10.0000,13.0000,-0.000121,0.000112,-0.000209
3700,770,1.0000,10.0000,10.0000,10.0000,13.0000,-0.001918,0.000004,-0.000164
3600,880,0.6966,-10.0000,3.9318,10.0000,11.3602,-0.162561,0.025451,-0.007472
3700,769,1.0000,10.0000,10.0000,10.0000,13.0000,0.125661,0.000861,-0.003889
3800,769,1.0000,10.0000,10.0000,10.0000,13.0000,0.221022,0.000578,-0.002937
3900,769,1.0000,10.0000,10.0000,10.0000,13.0000,-0.056236,0.000455,-0.002950
4000,770,1.0000,10.0000,10.0000,10.0000,13.0000,-0.031868,0.000190,-0.002135
4100,769,1.0000,10.0000,10.0000,10.0000,13.0000,-0.058470,0.000077,-0.001454
4200,769,1.0000,10.0000,10.0000,10.0000,13.0000,-0.024231,0.000066,-0.001214
4300,769,1.0000,10.0000,10.0000,10.0000,13.0000,-0.025417,0.000138,-0.001488
4400,770,1.0000,10.0000,10.0000,10.0000,13.0000,0.073605,0.000030,-0.001155
4500,769,1.0000,10.0000,10.0000,10.0000,13.0000,-0.036844,0.000029,-0.000757
4600,769,1.0000,10.0000,10.0000,10.0000,13.0000,-0.045373,0.000022,-0.001088
4700,769,1.0000,10.0000,10.0000,10.0000,13.0000,0.001014,0.000044,-0.000770
4800,770,1.0000,10.0000,10.0000,10.0000,13.0000,-0.043427,0.000028,-0.000492
4900,769,1.0000,10.0000,10.0000,10.0000,13.0000,0.011578,0.000013,-0.000938
5000,769,1.0000,10.0000,10.0000,10.0000,13.0000,-0.050482,0.000012,-0.000826
5100,769,1.0000,10.0000,10.0000,10.0000,13.0000,-0.042565,0.000016,-0.000642
5200,769,1.0000,10.0000,10.0000,10.0000,13.0000,-0.000551,0.000013,-0.000712
5300,770,1.0000,10.0000,10.0000,10.0000,13.0000,-0.009599,0.000032,-0.000423
5400,769,1.0000,10.0000,10.0000,10.0000,13.0000,-0.012421,0.000012,-0.000411
5500,769,1.0000,10.0000,10.0000,10.0000,13.0000,0.107237,0.000001,-0.000458
