Bob Training On size: w=5, h=5, c=4
batch,num_episodes,win_rate,min_score,avg_score,max_score,avg_length,actor_loss,value_loss,entropy_loss
0,16,0.0000,-17.4000,-17.2250,-17.2000,12.0000,0.680047,10.893582,-0.033420
100,2158,0.5825,-17.6000,1.8861,19.6000,9.2683,-0.183878,11.628143,-0.024582
200,2956,0.8637,-17.4000,13.3098,19.6000,6.7676,0.019507,0.740823,-0.000184
300,4000,1.0000,19.0000,19.1999,19.2000,5.0005,0.000311,0.000051,-0.000021
400,4000,1.0000,19.2000,19.2000,19.2000,5.0000,0.000034,0.000004,-0.000003
500,4000,1.0000,19.2000,19.2000,19.2000,5.0000,-0.000009,0.000000,-0.000002
600,2046,0.6017,-17.4000,3.7690,19.6000,9.7747,0.156696,14.068521,-0.009139
700,4985,1.0000,18.6000,19.3977,19.4000,4.0116,0.000083,0.001643,-0.000013
800,5000,1.0000,19.2000,19.4000,19.4000,4.0002,0.000200,0.000043,-0.000018
900,5000,1.0000,19.4000,19.4000,19.4000,4.0000,0.000019,0.000005,-0.000003
1000,5000,1.0000,19.4000,19.4000,19.4000,4.0000,0.000010,0.000001,-0.000001
1100,1667,0.0006,-17.4000,-17.1875,4.2000,11.9958,-0.005496,0.026649,-0.001063
1200,2226,0.7237,-17.4000,7.7677,19.4000,8.9856,-0.220847,15.877625,-0.006914
1300,3970,1.0000,4.2000,19.1659,19.2000,5.0380,-0.004042,16.637806,-0.000902
1400,3998,1.0000,19.0000,19.1996,19.2000,5.0018,0.013564,16.254385,-0.000676
1500,3999,1.0000,19.0000,19.1998,19.2000,5.0010,-0.009656,16.030924,-0.001096
1600,4000,1.0000,19.0000,19.1999,19.2000,5.0005,0.000497,16.069500,-0.000392
1700,3999,1.0000,19.0000,19.1998,19.2000,5.0008,-0.038137,15.783594,-0.000568
1800,4000,1.0000,4.4000,19.1962,19.2000,5.0000,-0.000194,15.669925,-0.000073
1900,4000,1.0000,19.0000,19.1999,19.2000,5.0003,-0.000125,15.643799,-0.000033
2000,4000,1.0000,19.0000,19.1999,19.2000,5.0003,0.000931,15.612971,-0.000041
2100,1666,0.0000,-17.4000,-17.2018,-17.2000,12.0000,-0.015150,11.771780,-0.000817
2200,1667,0.0000,-17.4000,-17.2121,-17.2000,12.0000,-0.062364,11.960745,-0.001750
2300,1667,0.0000,-17.4000,-17.2025,-17.2000,12.0000,-0.031967,12.108173,-0.002784
2400,3090,0.7492,-17.2000,10.1272,19.4000,6.4722,-0.004301,16.584263,-0.003142
2500,5000,1.0000,19.4000,19.4000,19.4000,4.0000,0.007036,16.481180,-0.001475
2600,5000,1.0000,19.4000,19.4000,19.4000,4.0000,-0.025869,16.379295,-0.003746
2700,4997,0.9998,-17.2000,19.3926,19.4000,4.0020,-0.005391,16.117121,-0.001892
2800,5000,1.0000,19.4000,19.4000,19.4000,4.0000,-0.000906,16.019674,-0.000316
2900,4998,0.9998,-17.2000,19.3927,19.4000,4.0016,-0.008011,15.922983,-0.000407
3000,4998,0.9998,-17.2000,19.3927,19.4000,4.0016,-0.000241,15.826857,-0.000106
3100,5000,1.0000,19.4000,19.4000,19.4000,4.0000,-0.007975,15.731124,-0.000345
3200,5000,1.0000,19.4000,19.4000,19.4000,4.0000,0.000871,15.635839,-0.000239
3300,5000,1.0000,19.4000,19.4000,19.4000,4.0000,0.000059,15.540952,-0.000105
3400,5000,1.0000,19.4000,19.4000,19.4000,4.0000,0.001582,15.446423,-0.000381
3500,5000,1.0000,19.4000,19.4000,19.4000,4.0000,0.010541,15.352204,-0.000044
3600,1666,0.0000,-17.2000,-17.2000,-17.2000,12.0000,-0.054164,12.395316,-0.003980
3700,1667,0.0000,-17.4000,-17.2004,-17.2000,12.0000,-0.080646,12.608910,-0.010365
3800,2055,0.3718,-17.6000,-7.5253,19.4000,9.7319,0.066327,12.764077,-0.019258
3900,2853,0.9958,-17.4000,18.4824,19.2000,7.0102,0.000001,0.009259,-0.000000
4000,2857,1.0000,18.8000,18.8000,18.8000,7.0000,0.000000,0.002140,-0.000000
4100,2858,1.0000,18.8000,18.8000,18.8000,7.0000,-0.000000,0.000392,-0.000000
4200,2857,1.0000,18.8000,18.8000,18.8000,7.0000,0.000001,0.000060,-0.000000
4300,2857,1.0000,18.8000,18.8000,18.8000,7.0000,0.000001,0.000009,-0.000000
4400,2857,1.0000,18.8000,18.8000,18.8000,7.0000,0.000001,0.000002,-0.000000
4500,2857,1.0000,18.8000,18.8000,18.8000,7.0000,0.000000,0.000000,-0.000000
4600,2857,1.0000,18.8000,18.8000,18.8000,7.0000,0.000000,0.000000,-0.000000
4600,1675,0.0203,-17.6000,-16.6825,19.2000,11.9355,-0.034252,0.007464,-0.000502
4700,1667,0.0000,-17.4000,-17.2060,-17.2000,12.0000,-0.001437,0.002096,-0.000181
4800,1667,0.0000,-17.2000,-17.2000,-17.2000,12.0000,0.000000,0.000564,-0.000000
4900,1666,0.0000,-17.2000,-17.2000,-17.2000,12.0000,0.000000,0.000402,-0.000000
5000,1667,0.0000,-17.2000,-17.2000,-17.2000,12.0000,0.000000,0.000259,-0.000000
5100,1667,0.0000,-17.2000,-17.2000,-17.2000,12.0000,0.000000,0.000197,-0.000000
5200,1666,0.0000,-17.2000,-17.2000,-17.2000,12.0000,0.000000,0.000161,-0.000000
5300,1667,0.0000,-17.2000,-17.2000,-17.2000,12.0000,0.000000,0.000104,-0.000000
5400,1667,0.0000,-17.2000,-17.2000,-17.2000,12.0000,0.000000,0.000079,-0.000000
5500,1666,0.0000,-17.2000,-17.2000,-17.2000,12.0000,0.000000,0.000063,-0.000000
5600,1667,0.0000,-17.2000,-17.2000,-17.2000,12.0000,0.000000,0.000039,-0.000000
5700,1667,0.0000,-17.2000,-17.2000,-17.2000,12.0000,0.000000,0.000029,-0.000000
5800,1666,0.0000,-17.2000,-17.2000,-17.2000,12.0000,0.000000,0.000022,-0.000000
5900,1667,0.0000,-17.2000,-17.2000,-17.2000,12.0000,0.000000,0.000013,-0.000000
6000,1667,0.0000,-17.2000,-17.2000,-17.2000,12.0000,0.000000,0.000009,-0.000000
6100,1666,0.0000,-17.2000,-17.2000,-17.2000,12.0000,0.000000,0.000007,-0.000000
6200,1667,0.0000,-17.2000,-17.2000,-17.2000,12.0000,0.000000,0.000004,-0.000000
6300,1667,0.0000,-17.2000,-17.2000,-17.2000,12.0000,0.000000,0.000002,-0.000000
6400,1666,0.0000,-17.2000,-17.2000,-17.2000,12.0000,0.000000,0.000002,-0.000000
6500,1667,0.0000,-17.2000,-17.2000,-17.2000,12.0000,0.000000,0.000001,-0.000000
6600,1667,0.0000,-17.2000,-17.2000,-17.2000,12.0000,0.000000,0.000001,-0.000000
6700,1666,0.0000,-17.2000,-17.2000,-17.2000,12.0000,0.000000,0.000000,-0.000000
6800,1667,0.0000,-17.2000,-17.2000,-17.2000,12.0000,0.000000,0.000000,-0.000000
6900,1667,0.0000,-17.2000,-17.2000,-17.2000,12.0000,0.000000,0.000000,-0.000000
7000,1666,0.0000,-17.2000,-17.2000,-17.2000,12.0000,0.000000,0.000000,-0.000000
7100,1666,0.0000,-17.2000,-17.2000,-17.2000,12.0000,0.000000,0.000000,-0.000000
7200,1667,0.0000,-17.2000,-17.2000,-17.2000,12.0000,0.000000,0.000000,-0.000000
7300,1667,0.0000,-17.2000,-17.2000,-17.2000,12.0000,0.000000,0.000000,-0.000000
7400,1666,0.0000,-17.2000,-17.2000,-17.2000,12.0000,0.000000,0.000000,-0.000000
7500,1667,0.0000,-17.2000,-17.2000,-17.2000,12.0000,-0.000000,0.000000,-0.000000
7600,1667,0.0000,-17.2000,-17.2000,-17.2000,12.0000,0.000000,0.000000,-0.000000
7700,1666,0.0000,-17.2000,-17.2000,-17.2000,12.0000,0.000000,0.000000,-0.000000
7800,1667,0.0000,-17.2000,-17.2000,-17.2000,12.0000,-0.000000,0.000000,-0.000000
7900,1667,0.0000,-17.2000,-17.2000,-17.2000,12.0000,0.000000,0.000000,-0.000000
8000,1666,0.0000,-17.2000,-17.2000,-17.2000,12.0000,0.000000,0.000000,-0.000000
8100,1667,0.0000,-17.2000,-17.2000,-17.2000,12.0000,0.000000,0.000000,-0.000000
8100,1666,0.0000,-17.2000,-17.2000,-17.2000,12.0000,0.000000,0.000000,-0.000000
8200,1667,0.0000,-17.2000,-17.2000,-17.2000,12.0000,0.000000,0.000000,-0.000000
8300,1667,0.0000,-17.2000,-17.2000,-17.2000,12.0000,-0.000000,0.000000,-0.000000
8400,1666,0.0000,-17.2000,-17.2000,-17.2000,12.0000,-0.000000,0.000000,-0.000000
8500,1667,0.0000,-17.2000,-17.2000,-17.2000,12.0000,-0.000000,0.000000,-0.000000
8600,1667,0.0000,-17.2000,-17.2000,-17.2000,12.0000,0.000000,0.000000,-0.000000
8700,1666,0.0000,-17.2000,-17.2000,-17.2000,12.0000,-0.000000,0.000000,-0.000000
8800,1667,0.0000,-17.2000,-17.2000,-17.2000,12.0000,-0.000000,0.000000,-0.000000
8900,1667,0.0000,-17.2000,-17.2000,-17.2000,12.0000,-0.002914,0.001743,-0.000161
9000,1666,0.0000,-17.2000,-17.2000,-17.2000,12.0000,0.020517,0.000148,-0.000304
9100,1667,0.0000,-17.2000,-17.2000,-17.2000,12.0000,0.000007,0.000002,-0.000001
9200,1667,0.0000,-17.2000,-17.2000,-17.2000,12.0000,-0.000150,0.000998,-0.000004
9300,1666,0.0000,-17.2000,-17.2000,-17.2000,12.0000,-0.000002,0.000001,-0.000000
9400,1667,0.0000,-17.2000,-17.2000,-17.2000,12.0000,-0.000001,0.001211,-0.000000
9500,1667,0.0000,-17.2000,-17.2000,-17.2000,12.0000,0.000001,0.002373,-0.000001
9600,1666,0.0000,-17.2000,-17.2000,-17.2000,12.0000,0.000004,0.000005,-0.000001
9700,1667,0.0000,-17.2000,-17.2000,-17.2000,12.0000,0.000001,0.000000,-0.000000
9800,1667,0.0000,-17.2000,-17.2000,-17.2000,12.0000,-0.000002,0.000157,-0.000000
9900,1666,0.0000,-17.2000,-17.2000,-17.2000,12.0000,0.000001,0.000000,-0.000000
10000,1667,0.0000,-17.2000,-17.2000,-17.2000,12.0000,-0.000002,0.000457,-0.000000
10100,1666,0.0000,-17.2000,-17.2000,-17.2000,12.0000,0.000002,0.000000,-0.000000
10200,1667,0.0000,-17.2000,-17.2000,-17.2000,12.0000,0.000014,0.000301,-0.000003
10300,1667,0.0000,-17.2000,-17.2000,-17.2000,12.0000,0.000024,0.000034,-0.000006
10400,1666,0.0000,-17.2000,-17.2000,-17.2000,12.0000,0.000007,0.000003,-0.000002
10500,1667,0.0000,-17.2000,-17.2000,-17.2000,12.0000,0.000003,0.000011,-0.000001
10600,1667,0.0000,-17.2000,-17.2000,-17.2000,12.0000,-0.000000,0.000853,-0.000001
10700,1666,0.0000,-17.2000,-17.2000,-17.2000,12.0000,0.000001,0.000001,-0.000000
10800,1667,0.0000,-17.2000,-17.2000,-17.2000,12.0000,0.000000,0.000240,-0.000000
10900,1667,0.0000,-17.2000,-17.2000,-17.2000,12.0000,0.000001,0.000000,-0.000000
11000,1666,0.0000,-17.2000,-17.2000,-17.2000,12.0000,0.000000,0.000000,-0.000000
11100,1667,0.0000,-17.2000,-17.2000,-17.2000,12.0000,0.000000,0.000003,-0.000000
11200,1667,0.0000,-17.2000,-17.2000,-17.2000,12.0000,0.000000,0.000000,-0.000000
11300,1666,0.0000,-17.2000,-17.2000,-17.2000,12.0000,-0.000000,0.000000,-0.000000
11400,1667,0.0000,-17.2000,-17.2000,-17.2000,12.0000,0.000001,0.000000,-0.000000
11500,1667,0.0000,-17.2000,-17.2000,-17.2000,12.0000,0.000000,0.000000,-0.000000
11600,1666,0.0000,-17.2000,-17.2000,-17.2000,12.0000,-0.000000,0.000111,-0.000000
11700,1667,0.0000,-17.2000,-17.2000,-17.2000,12.0000,0.000000,0.000000,-0.000000
11800,1667,0.0000,-17.2000,-17.2000,-17.2000,12.0000,0.000000,0.000000,-0.000000
11900,1666,0.0000,-17.2000,-17.2000,-17.2000,12.0000,0.000000,0.000013,-0.000000
12000,1667,0.0000,-17.2000,-17.2000,-17.2000,12.0000,0.000000,0.000000,-0.000000
12100,1667,0.0000,-17.2000,-17.2000,-17.2000,12.0000,-0.000000,0.000001,-0.000000
12200,1666,0.0000,-17.2000,-17.2000,-17.2000,12.0000,0.000000,0.000000,-0.000000
12300,1667,0.0000,-17.2000,-17.2000,-17.2000,12.0000,0.000000,0.000000,-0.000000
12400,1667,0.0000,-17.2000,-17.2000,-17.2000,12.0000,-0.000000,0.002098,-0.000000
12500,1666,0.0000,-17.2000,-17.2000,-17.2000,12.0000,0.000000,0.000000,-0.000000
12600,1666,0.0000,-17.2000,-17.2000,-17.2000,12.0000,-0.000000,0.000000,-0.000000
12700,1667,0.0000,-17.2000,-17.2000,-17.2000,12.0000,0.000000,0.000001,-0.000000
12800,1667,0.0000,-17.2000,-17.2000,-17.2000,12.0000,0.000000,0.000000,-0.000000
12900,1666,0.0000,-17.2000,-17.2000,-17.2000,12.0000,0.000000,0.001431,-0.000000
13000,1667,0.0000,-17.2000,-17.2000,-17.2000,12.0000,0.000000,0.000000,-0.000000
13100,1667,0.0000,-17.2000,-17.2000,-17.2000,12.0000,0.000000,0.000000,-0.000000
13200,1666,0.0000,-17.2000,-17.2000,-17.2000,12.0000,-0.000000,0.000205,-0.000000
13300,1667,0.0000,-17.2000,-17.2000,-17.2000,12.0000,0.000000,0.000000,-0.000000
13400,1667,0.0000,-17.2000,-17.2000,-17.2000,12.0000,0.000000,0.000000,-0.000000
13500,1666,0.0000,-17.2000,-17.2000,-17.2000,12.0000,0.000000,0.000000,-0.000000
13600,1667,0.0000,-17.2000,-17.2000,-17.2000,12.0000,0.000000,0.000000,-0.000000
13700,1667,0.0000,-17.2000,-17.2000,-17.2000,12.0000,-0.000000,0.000000,-0.000000
