Alice Training On size: w=5, h=5, c=4
batch,num_episodes,win_rate,min_score,avg_score,max_score,avg_length,actor_loss,value_loss,entropy_loss
100,1819,0.1220,-10.0000,-7.5591,10.0000,5.4948,-0.030690,4.718576,-0.023017
200,1088,0.5634,-10.0000,1.2684,10.0000,9.1893,-0.098102,1.020179,-0.012660
300,909,0.7767,-10.0000,5.5336,10.0000,11.0055,0.007769,1.336784,-0.008543
400,867,0.8408,-10.0000,6.8166,10.0000,11.5248,0.096253,0.027577,-0.008618
500,887,0.8117,-10.0000,6.2345,10.0000,11.2841,0.033181,2.002520,-0.009303
600,867,0.8431,-10.0000,6.8627,10.0000,11.5317,0.027685,0.654222,-0.006811
700,853,0.8675,-10.0000,7.3505,10.0000,11.7151,-0.120128,0.009764,-0.005957
800,869,0.8493,-10.0000,6.9850,10.0000,11.5109,-0.062053,0.006914,-0.005681
900,860,0.8593,-10.0000,7.1860,10.0000,11.6244,0.042443,1.002790,-0.003683
1000,857,0.8681,-10.0000,7.3629,10.0000,11.6768,-0.267186,0.020248,-0.005272
1100,856,0.8668,-10.0000,7.3364,10.0000,11.6787,0.063999,0.846402,-0.004718
1200,850,0.8765,-10.0000,7.5294,10.0000,11.7612,0.105475,0.820382,-0.005728
1300,841,0.8870,-10.0000,7.7408,10.0000,11.8894,-0.022345,1.643358,-0.005613
1400,853,0.8734,-10.0000,7.4678,10.0000,11.7327,0.037369,1.339129,-0.006364
1500,879,0.8373,-10.0000,6.7463,10.0000,11.3811,0.047451,0.504759,-0.006674
1600,844,0.8827,-10.0000,7.6540,10.0000,11.8436,0.107494,0.500345,-0.006340
1700,854,0.8677,-10.0000,7.3536,10.0000,11.7061,0.002550,0.552370,-0.005898
1800,874,0.8421,-10.0000,6.8421,10.0000,11.4428,0.109037,0.385065,-0.005817
1900,853,0.8664,-10.0000,7.3271,10.0000,11.7186,-0.223843,0.032545,-0.005363
2000,856,0.8610,-10.0000,7.2196,10.0000,11.6893,0.128944,0.040207,-0.005870
2100,879,0.8294,-10.0000,6.5870,10.0000,11.3788,-0.021877,0.274101,-0.006154
