Alice Training On size: w=8, h=8, c=4
batch,num_episodes,win_rate,min_score,avg_score,max_score,avg_length,actor_loss,value_loss,entropy_loss
100,693,0.1833,-10.0000,-6.3348,10.0000,14.4242,0.075003,3.193883,-0.043427
200,624,0.2196,-10.0000,-5.6090,10.0000,16.0208,0.266886,3.776703,-0.042400
300,636,0.2296,-10.0000,-5.4088,10.0000,15.7343,-0.055462,3.719263,-0.043581
400,626,0.2604,-10.0000,-4.7923,10.0000,15.9585,0.276864,5.329914,-0.045172
500,618,0.2265,-10.0000,-5.4693,10.0000,16.2006,0.428557,5.405855,-0.045094
600,630,0.2365,-10.0000,-5.2698,10.0000,15.8571,0.920361,2.210757,-0.039474
700,682,0.2067,-10.0000,-5.8651,10.0000,14.6906,0.272474,5.121035,-0.041092
800,616,0.2305,-10.0000,-5.3896,10.0000,16.2175,0.050076,5.234499,-0.047080
900,608,0.2648,-10.0000,-4.7039,10.0000,16.4326,-0.037786,3.131472,-0.041012
1000,595,0.2824,-10.0000,-4.3529,10.0000,16.8403,-0.041994,2.877236,-0.040606
1100,578,0.3010,-10.0000,-3.9792,10.0000,17.3028,-0.348745,3.631256,-0.040827
1200,587,0.2692,-10.0000,-4.6167,10.0000,17.0341,-0.049786,3.229266,-0.037456
1300,608,0.2697,-10.0000,-4.6053,10.0000,16.3997,0.229701,5.421125,-0.040896
1400,584,0.2997,-10.0000,-4.0068,10.0000,17.1524,0.179745,3.387486,-0.042077
1500,636,0.2217,-10.0000,-5.5660,10.0000,15.7390,0.728166,2.076886,-0.039784
1600,587,0.2777,-10.0000,-4.4463,10.0000,17.0017,0.291061,4.551708,-0.042298
1700,591,0.2809,-10.0000,-4.3824,10.0000,16.9069,0.310988,2.426580,-0.040994
1800,657,0.2116,-10.0000,-5.7686,10.0000,15.2588,0.099812,3.627458,-0.047616
1900,624,0.2468,-10.0000,-5.0641,10.0000,16.0176,0.018482,3.549336,-0.042924
2000,606,0.2574,-10.0000,-4.8515,10.0000,16.4983,0.196792,2.640915,-0.043257
2100,637,0.2198,-10.0000,-5.6044,10.0000,15.6986,0.163809,6.114096,-0.043671
2200,609,0.2414,-10.0000,-5.1724,10.0000,16.4171,0.095767,3.931602,-0.042727
2300,621,0.2319,-10.0000,-5.3623,10.0000,16.0580,-0.193506,5.153904,-0.044419
2400,573,0.2862,-10.0000,-4.2757,10.0000,17.4590,0.194250,6.662291,-0.047027
