Bob Training On size: w=5, h=5, c=4
batch,num_episodes,win_rate,min_score,avg_score,max_score,avg_length,actor_loss,value_loss,entropy_loss
100,853,0.0610,-15.0000,-13.2708,20.0000,11.7304,0.145983,3.151150,-0.032676
200,849,0.0518,-15.0000,-13.5925,20.0000,11.7739,0.564585,0.059688,-0.032495
300,853,0.0633,-15.0000,-13.2063,20.0000,11.7292,0.398162,0.081564,-0.032825
400,847,0.0508,-15.0000,-13.5950,20.0000,11.8005,-0.259313,0.005113,-0.031327
500,853,0.0586,-15.0000,-13.3001,20.0000,11.7257,-0.862680,0.031586,-0.032127
600,845,0.0509,-15.0000,-13.5917,20.0000,11.8296,0.152146,0.062359,-0.031360
700,846,0.0520,-15.0000,-13.5343,20.0000,11.8203,-0.085342,1.460796,-0.026124
800,844,0.0391,-15.0000,-13.8981,20.0000,11.8566,-0.021423,0.872893,-0.024249
900,844,0.0427,-15.0000,-13.8448,20.0000,11.8519,-0.794762,0.070259,-0.028893
1000,848,0.0660,-15.0000,-13.2547,20.0000,11.7818,0.040038,1.186652,-0.029091
1100,850,0.0718,-15.0000,-13.0529,20.0000,11.7671,-0.680598,0.013005,-0.032355
1200,843,0.0320,-15.0000,-14.1281,20.0000,11.8600,0.101522,1.816382,-0.031767
1300,849,0.0530,-15.0000,-13.5159,20.0000,11.7868,0.169667,5.767016,-0.033157
1400,850,0.0565,-15.0000,-13.3235,20.0000,11.7635,-0.455976,0.050972,-0.032310
1500,849,0.0589,-15.0000,-13.3274,20.0000,11.7727,-0.479991,0.007732,-0.031483
1600,851,0.0599,-15.0000,-13.4313,20.0000,11.7532,0.134369,2.146448,-0.032510
1700,849,0.0554,-15.0000,-13.3981,20.0000,11.7845,0.127654,1.846495,-0.031654
1800,844,0.0427,-15.0000,-13.7559,20.0000,11.8507,0.885895,0.127264,-0.031056
1900,848,0.0554,-15.0000,-13.3078,20.0000,11.7913,0.015594,2.366757,-0.030192
2000,850,0.0576,-15.0000,-13.3706,20.0000,11.7612,0.625551,0.013362,-0.032157
2100,851,0.0623,-15.0000,-13.2256,20.0000,11.7497,-0.897779,0.036276,-0.031980
2200,850,0.0635,-15.0000,-13.1471,20.0000,11.7624,0.163226,2.468025,-0.033215
2300,849,0.0542,-15.0000,-13.4217,20.0000,11.7774,0.408520,0.079833,-0.031523
2400,852,0.0646,-15.0000,-13.0927,20.0000,11.7371,0.125983,0.837257,-0.032957
2500,849,0.0577,-15.0000,-13.2627,20.0000,11.7797,0.211241,1.037865,-0.032847
2600,853,0.0703,-15.0000,-13.1184,20.0000,11.7186,0.073816,1.836928,-0.032912
2700,854,0.0749,-15.0000,-12.9215,20.0000,11.7201,0.127804,3.429445,-0.032462
2800,849,0.0565,-15.0000,-13.3746,20.0000,11.7797,0.129526,1.815083,-0.032582
2900,853,0.0715,-15.0000,-12.8839,20.0000,11.7245,0.248678,4.077735,-0.032917
3000,850,0.0682,-15.0000,-12.9471,20.0000,11.7588,-0.508408,0.005945,-0.033137
3100,849,0.0612,-15.0000,-13.2450,20.0000,11.7715,0.765676,0.066431,-0.030885
3200,849,0.0601,-15.0000,-13.2862,20.0000,11.7892,0.660322,0.008262,-0.032142
3300,846,0.0508,-15.0000,-13.4161,20.0000,11.8097,0.499639,0.048246,-0.029849
3400,851,0.0623,-15.0000,-13.1904,20.0000,11.7568,-0.727874,0.009354,-0.030300
3500,848,0.0483,-15.0000,-13.6262,20.0000,11.7925,0.174389,1.638641,-0.031533
3600,849,0.0577,-15.0000,-13.4040,20.0000,11.7821,-0.298112,0.007259,-0.029033
3700,852,0.0798,-15.0000,-12.7523,20.0000,11.7300,0.045714,2.935265,-0.030838
3800,850,0.0706,-15.0000,-13.0588,20.0000,11.7706,0.038951,0.005632,-0.028906
3900,854,0.0867,-15.0000,-12.6347,20.0000,11.7061,0.218718,1.438010,-0.030522
4000,848,0.0601,-15.0000,-13.3726,20.0000,11.7889,0.472112,0.007065,-0.028631
4100,852,0.0728,-15.0000,-12.9108,20.0000,11.7477,0.121093,2.153853,-0.029802
4200,853,0.0692,-15.0000,-13.0188,20.0000,11.7198,-0.230916,0.025444,-0.029675
4300,850,0.0624,-15.0000,-13.3294,20.0000,11.7576,0.610185,0.047028,-0.028821
4400,854,0.0644,-15.0000,-13.1323,20.0000,11.7143,0.222144,1.228060,-0.031025
4500,856,0.0748,-15.0000,-12.8563,20.0000,11.6857,-0.810804,0.019010,-0.031456
4600,859,0.0896,-15.0000,-12.4738,20.0000,11.6368,0.051468,1.632314,-0.031845
4700,854,0.0738,-15.0000,-12.8396,20.0000,11.7166,0.201747,0.727810,-0.031678
4800,854,0.0656,-15.0000,-13.0913,20.0000,11.7108,-0.253386,0.003497,-0.031005
4900,862,0.0928,-15.0000,-12.1694,20.0000,11.5963,-0.023329,1.805764,-0.030527
5100,861,0.0778,-15.0000,-12.6945,20.0000,11.6063,-0.430483,0.011963,-0.029398
5200,862,0.0824,-15.0000,-12.4478,20.0000,11.6102,0.187287,2.266109,-0.030960
5300,863,0.0881,-15.0000,-12.2132,20.0000,11.5886,0.098211,5.158125,-0.031328
5400,864,0.0880,-15.0000,-12.3553,20.0000,11.5637,0.018904,1.651953,-0.030487
5500,865,0.0855,-15.0000,-12.3006,20.0000,11.5630,0.328006,0.010609,-0.028726
5600,870,0.1046,-15.0000,-11.8908,20.0000,11.4931,0.039276,1.606287,-0.029675
5700,867,0.0934,-15.0000,-11.9896,20.0000,11.5363,0.397832,0.028738,-0.027784
5800,876,0.1119,-15.0000,-11.4783,20.0000,11.4212,0.458455,0.045037,-0.028534
5900,870,0.0989,-15.0000,-11.7644,20.0000,11.4908,-0.782949,0.015844,-0.028009
6000,877,0.1174,-15.0000,-11.2828,20.0000,11.3968,-0.835296,0.044924,-0.026617
6100,874,0.1064,-15.0000,-11.6876,20.0000,11.4462,0.201212,0.005556,-0.026496
6200,885,0.1243,-15.0000,-11.0565,20.0000,11.2949,0.027316,0.614090,-0.026348
6300,897,0.1438,-15.0000,-10.2843,20.0000,11.1594,-0.095630,5.503952,-0.026058
6400,907,0.1544,-15.0000,-9.8291,20.0000,11.0232,0.211193,1.639699,-0.024154
6500,915,0.1727,-15.0000,-9.1858,20.0000,10.9246,0.133023,3.228404,-0.021470
6600,912,0.1601,-15.0000,-9.6930,20.0000,10.9660,0.146277,1.047205,-0.021032
6700,944,0.2172,-15.0000,-7.7331,20.0000,10.5932,0.269192,3.659427,-0.021395
6800,960,0.2500,-15.0000,-6.5781,20.0000,10.4177,-0.019618,6.498904,-0.020762
6900,951,0.2345,-15.0000,-7.0925,20.0000,10.5174,-0.099795,4.257637,-0.019977
7000,950,0.2326,-15.0000,-7.2368,20.0000,10.5274,-0.043989,4.873710,-0.017418
7100,993,0.2951,-15.0000,-5.0050,20.0000,10.0685,-0.344370,3.000737,-0.018944
7200,1042,0.3589,-15.0000,-2.7255,20.0000,9.6008,-0.263327,9.513528,-0.016347
7300,1056,0.3731,-15.0000,-2.4384,20.0000,9.4669,-0.083362,1.538672,-0.015259
7400,1089,0.4187,-15.0000,-0.7300,20.0000,9.1754,-0.004372,8.538956,-0.014770
7500,1153,0.4814,-15.0000,1.4571,20.0000,8.6748,0.009784,5.457449,-0.014337
7600,1167,0.4824,-15.0000,1.4996,20.0000,8.5750,-0.123678,7.363364,-0.013822
7700,1214,0.5239,-15.0000,2.9654,20.0000,8.2339,-0.100650,8.979686,-0.013321
7800,1278,0.5704,-15.0000,4.5892,20.0000,7.8279,-0.132795,9.779911,-0.013281
7900,1417,0.6641,-15.0000,7.8617,20.0000,7.0579,-0.223468,8.400005,-0.011824
8000,1500,0.7127,-15.0000,9.5333,20.0000,6.6673,-0.209312,8.050207,-0.010569
8100,1546,0.7283,-15.0000,10.1811,20.0000,6.4683,-0.032446,15.008503,-0.008317
8200,1662,0.7780,-15.0000,11.9224,20.0000,6.0150,-0.298224,10.775834,-0.007982
8300,1636,0.7634,-15.0000,11.4823,20.0000,6.1131,-0.341057,11.083057,-0.006481
8400,1679,0.7874,-15.0000,12.2186,20.0000,5.9506,-0.275232,10.067326,-0.007296
8500,1693,0.7856,-15.0000,12.2563,20.0000,5.9079,-0.231319,8.894415,-0.007685
8600,1733,0.8003,-15.0000,12.7525,20.0000,5.7732,-0.154449,8.257072,-0.006593
8700,1629,0.7587,-15.0000,11.3168,20.0000,6.1400,-0.227969,9.053778,-0.006640
8800,1682,0.7872,-15.0000,12.2652,20.0000,5.9459,-0.116789,8.923703,-0.006693
8900,1731,0.8007,-15.0000,12.7730,20.0000,5.7764,-0.287615,10.546549,-0.005313
9000,1743,0.8021,-15.0000,12.7108,20.0000,5.7378,-0.145146,9.628892,-0.007149
9100,1747,0.8122,-15.0000,13.1454,20.0000,5.7224,-0.236864,9.181417,-0.007635
9200,1765,0.8091,-15.0000,13.0623,20.0000,5.6669,-0.412151,8.871265,-0.007717
9300,1746,0.8041,-15.0000,12.9381,20.0000,5.7285,-0.175591,12.467713,-0.005079
9400,1770,0.8130,-15.0000,13.2345,20.0000,5.6480,-0.202478,11.007236,-0.005277
9500,1735,0.7994,-15.0000,12.6859,20.0000,5.7631,-0.364619,9.755205,-0.007098
9600,1745,0.8052,-15.0000,12.8968,20.0000,5.7266,-0.171257,4.136351,-0.005411
9700,1791,0.8213,-15.0000,13.5036,20.0000,5.5868,-0.146687,2.614448,-0.004022
9800,1795,0.8201,-15.0000,13.4011,20.0000,5.5738,-0.432448,3.858081,-0.006742
9900,1787,0.8198,-15.0000,13.4667,20.0000,5.5943,0.209538,2.935773,-0.005372
10000,18,0.8333,-15.0000,14.1667,20.0000,5.5556,0.028601,2.969663,-0.006214
10100,1789,0.8172,-15.0000,13.4097,20.0000,5.5897,-0.048958,2.302015,-0.005145
10200,1792,0.8181,-15.0000,13.4068,20.0000,5.5759,-0.021477,2.878924,-0.004925
10300,1787,0.8176,-15.0000,13.3380,20.0000,5.5976,0.098528,2.539062,-0.006696
10400,1779,0.8179,-15.0000,13.3305,20.0000,5.6194,0.153373,3.940194,-0.007227
10500,1797,0.8225,-15.0000,13.5198,20.0000,5.5682,-0.230656,2.248575,-0.004535
10600,1769,0.8095,-15.0000,13.1034,20.0000,5.6518,0.088406,1.739663,-0.005192
10700,1802,0.8230,-15.0000,13.3962,20.0000,5.5505,0.233754,5.007006,-0.008190
10800,1821,0.8314,-15.0000,13.8111,20.0000,5.4926,0.078435,2.178923,-0.005246
10900,1799,0.8210,-15.0000,13.4186,20.0000,5.5525,0.081959,3.755306,-0.006781
11000,1830,0.8344,-15.0000,13.8443,20.0000,5.4689,0.091673,3.043587,-0.006353
11100,1821,0.8314,-15.0000,13.7946,20.0000,5.4893,0.134016,2.695288,-0.005388
11200,1763,0.8094,-15.0000,13.0488,20.0000,5.6727,0.250100,4.265098,-0.007884
11300,1807,0.8251,-15.0000,13.5556,20.0000,5.5368,-0.045218,4.132621,-0.006182
11400,1843,0.8405,-15.0000,14.1563,20.0000,5.4265,0.129473,1.904377,-0.005110
11500,1814,0.8330,-15.0000,13.8727,20.0000,5.5072,0.113562,2.757541,-0.007177
11600,1783,0.8211,-15.0000,13.4773,20.0000,5.6130,0.161576,2.694891,-0.006504
11700,1766,0.8137,-15.0000,13.2418,20.0000,5.6625,0.059428,1.448581,-0.004395
11800,1802,0.8246,-15.0000,13.5461,20.0000,5.5494,-0.074918,1.030225,-0.004288
11900,1805,0.8255,-15.0000,13.6094,20.0000,5.5413,0.039612,1.172484,-0.003492
12000,1808,0.8258,-15.0000,13.6117,20.0000,5.5304,0.260069,4.671527,-0.008859
12100,1787,0.8165,-15.0000,13.3156,20.0000,5.5960,0.203755,2.624194,-0.006574
12200,1804,0.8248,-15.0000,13.6031,20.0000,5.5427,0.215290,2.672776,-0.007474
12300,1804,0.8259,-15.0000,13.6669,20.0000,5.5405,0.081215,1.711000,-0.005373
12400,1828,0.8321,-15.0000,13.9086,20.0000,5.4743,-0.080972,2.397930,-0.005254
12500,1818,0.8300,-15.0000,13.7541,20.0000,5.5000,0.072002,2.833950,-0.006216
12600,1791,0.8197,-15.0000,13.4534,20.0000,5.5840,-0.079439,2.286986,-0.006169
12700,1775,0.8175,-15.0000,13.3915,20.0000,5.6338,0.109268,2.930010,-0.006847
12800,1799,0.8216,-15.0000,13.5214,20.0000,5.5570,0.071932,4.019634,-0.008661
12900,1826,0.8352,-15.0000,13.9184,20.0000,5.4743,0.198201,3.853264,-0.007723
13000,1815,0.8298,-15.0000,13.7190,20.0000,5.5124,0.101946,2.446114,-0.007983
13100,1779,0.8156,-15.0000,13.2518,20.0000,5.6206,0.088627,2.637504,-0.005342
13200,1718,0.7986,-15.0000,12.7503,20.0000,5.8201,0.172963,6.180094,-0.009244
13300,1803,0.8286,-15.0000,13.6938,20.0000,5.5480,0.183774,4.534965,-0.009875
13400,1797,0.8214,-15.0000,13.5142,20.0000,5.5654,0.154877,2.593728,-0.006901
13500,1750,0.8034,-15.0000,12.8457,20.0000,5.7131,0.190026,4.016507,-0.007347
13600,1788,0.8194,-15.0000,13.4256,20.0000,5.5912,0.137815,3.108491,-0.006058
13700,1806,0.8234,-15.0000,13.4690,20.0000,5.5388,0.119281,2.940102,-0.006020
13800,1833,0.8352,-15.0000,14.0044,20.0000,5.4561,0.377697,4.752290,-0.008998
13900,1841,0.8376,-15.0000,13.9815,20.0000,5.4307,0.147446,4.446694,-0.007336
14000,1809,0.8237,-15.0000,13.6291,20.0000,5.5285,0.042036,1.478560,-0.004175
14100,1809,0.8237,-15.0000,13.5047,20.0000,5.5290,0.254788,3.156631,-0.008861
14200,1800,0.8222,-15.0000,13.4278,20.0000,5.5539,0.144218,2.844655,-0.005550
14300,1801,0.8257,-15.0000,13.6730,20.0000,5.5486,0.256827,3.142648,-0.008597
14400,1820,0.8258,-15.0000,13.6154,20.0000,5.4973,0.085168,2.611846,-0.006066
14500,1828,0.8332,-15.0000,13.9059,20.0000,5.4721,0.145889,2.471225,-0.006865
14600,1789,0.8155,-15.0000,13.2840,20.0000,5.5903,0.232451,4.434373,-0.009388
14700,1816,0.8326,-15.0000,13.8519,20.0000,5.5033,0.218085,4.498549,-0.007316
14800,1831,0.8356,-15.0000,13.9842,20.0000,5.4648,-0.000776,2.381421,-0.003975
14900,1819,0.8334,-15.0000,13.7658,20.0000,5.4926,0.230068,3.764646,-0.008106
