Alice Training On size: w=20, h=5, c=4
batch,num_episodes,win_rate,min_score,avg_score,max_score,avg_length,actor_loss,value_loss,entropy_loss
100,453,0.1656,-10.0000,-6.6887,10.0000,22.0265,-0.547168,3.244999,-0.050752
200,443,0.1716,-10.0000,-6.5688,10.0000,22.6005,0.330256,4.249975,-0.054818
300,451,0.1441,-10.0000,-7.1175,10.0000,22.1840,0.172905,3.118049,-0.046488
400,448,0.1562,-10.0000,-6.8750,10.0000,22.3259,0.257081,3.686695,-0.048144
500,469,0.1450,-10.0000,-7.1002,10.0000,21.2857,-0.166277,3.064229,-0.049373
600,448,0.1384,-10.0000,-7.2321,10.0000,22.3259,0.610352,3.905473,-0.050288
700,489,0.1329,-10.0000,-7.3415,10.0000,20.4867,0.264777,4.012286,-0.047672
800,447,0.1566,-10.0000,-6.8680,10.0000,22.3714,-0.116616,3.550555,-0.050627
900,465,0.1441,-10.0000,-7.1183,10.0000,21.4946,0.370551,2.682921,-0.054672
1000,441,0.1655,-10.0000,-6.6893,10.0000,22.6304,0.021366,3.477621,-0.049367
1100,467,0.1435,-10.0000,-7.1306,10.0000,21.4668,0.781171,5.318492,-0.050007
1200,476,0.1429,-10.0000,-7.1429,10.0000,20.9958,0.215244,3.278785,-0.046980
1300,479,0.1420,-10.0000,-7.1608,10.0000,20.8372,0.452139,3.641532,-0.052655
1400,462,0.1234,-10.0000,-7.5325,10.0000,21.6926,0.268882,3.527854,-0.055475
1500,467,0.1413,-10.0000,-7.1734,10.0000,21.4047,0.383387,4.283357,-0.053852
1600,455,0.1516,-10.0000,-6.9670,10.0000,21.9626,0.182851,3.041934,-0.049023
1700,459,0.1547,-10.0000,-6.9063,10.0000,21.7516,0.318663,4.258542,-0.052727
1800,438,0.1484,-10.0000,-7.0320,10.0000,22.7968,0.402782,3.447999,-0.046523
1900,437,0.1831,-10.0000,-6.3387,10.0000,22.9634,0.469916,4.303943,-0.052998
2000,459,0.1656,-10.0000,-6.6885,10.0000,21.7603,0.096917,3.392079,-0.049756
2100,448,0.1473,-10.0000,-7.0536,10.0000,22.3638,-0.156473,3.030146,-0.048438
2200,475,0.1537,-10.0000,-6.9263,10.0000,21.0253,0.855638,2.041439,-0.044699
2300,461,0.1649,-10.0000,-6.7028,10.0000,21.7202,0.466000,4.590060,-0.051365
2100,456,0.1557,-10.0000,-6.8860,10.0000,21.8289,0.335412,4.339769,-0.048143
2200,458,0.1419,-10.0000,-7.1616,10.0000,21.9105,0.116701,2.817588,-0.048595
2300,446,0.1614,-10.0000,-6.7713,10.0000,22.3722,0.237376,3.257385,-0.052023
2400,439,0.1686,-10.0000,-6.6287,10.0000,22.8041,-0.087751,2.748496,-0.049869
2500,445,0.1820,-10.0000,-6.3596,10.0000,22.4562,0.042394,2.938849,-0.048662
2600,473,0.1543,-10.0000,-6.9133,10.0000,21.1564,0.251299,1.872649,-0.045383
2700,461,0.1605,-10.0000,-6.7896,10.0000,21.7289,0.459184,3.850305,-0.052804
2800,453,0.1700,-10.0000,-6.6004,10.0000,22.0839,0.721949,4.308935,-0.050046
2900,429,0.1981,-10.0000,-6.0373,10.0000,23.3124,0.047731,4.127146,-0.048301
3000,472,0.1716,-10.0000,-6.5678,10.0000,21.1483,0.026942,2.894650,-0.048988
3100,428,0.1776,-10.0000,-6.4486,10.0000,23.3879,0.630558,3.641915,-0.044976
3200,474,0.1350,-10.0000,-7.2996,10.0000,21.1118,0.593635,3.296739,-0.042531
3300,434,0.1498,-10.0000,-7.0046,10.0000,22.9977,-0.096162,2.516314,-0.046250
3400,422,0.1682,-10.0000,-6.6351,10.0000,23.6469,0.345224,3.486261,-0.045444
3500,433,0.1686,-10.0000,-6.6282,10.0000,23.1155,0.059236,2.715824,-0.045657
3600,421,0.1853,-10.0000,-6.2945,10.0000,23.8266,-0.164983,3.379980,-0.045147
3700,427,0.1686,-10.0000,-6.6276,10.0000,23.3981,-0.150115,3.163963,-0.041924
3800,419,0.1766,-10.0000,-6.4678,10.0000,23.8592,0.259981,2.392043,-0.040342
3900,434,0.1705,-10.0000,-6.5899,10.0000,23.0115,0.029569,2.735215,-0.047851
4000,426,0.1878,-10.0000,-6.2441,10.0000,23.4648,0.161888,3.345078,-0.049926
4100,440,0.1636,-10.0000,-6.7273,10.0000,22.7955,0.446998,4.246655,-0.047965
4200,458,0.1572,-10.0000,-6.8559,10.0000,21.8319,0.447028,4.777688,-0.050274
4300,456,0.1689,-10.0000,-6.6228,10.0000,21.9145,-0.189326,3.178981,-0.047195
4400,439,0.1412,-10.0000,-7.1754,10.0000,22.7517,0.243901,2.862169,-0.048660
4500,456,0.1798,-10.0000,-6.4035,10.0000,21.9627,0.131920,3.374535,-0.045821
4600,448,0.1518,-10.0000,-6.9643,10.0000,22.3080,0.179446,2.711350,-0.049420
4700,450,0.1778,-10.0000,-6.4444,10.0000,22.2467,0.270098,3.394259,-0.044424
4800,435,0.1563,-10.0000,-6.8736,10.0000,22.9080,0.140501,3.369767,-0.044183
4900,444,0.1577,-10.0000,-6.8468,10.0000,22.5946,0.115103,3.379997,-0.045723
5000,427,0.1686,-10.0000,-6.6276,10.0000,23.3607,0.011800,2.795341,-0.052814
5100,400,0.1875,-10.0000,-6.2500,10.0000,25.0625,0.388330,3.852477,-0.050480
5200,420,0.1786,-10.0000,-6.4286,10.0000,23.7643,0.098429,2.934872,-0.052054
5300,438,0.1598,-10.0000,-6.8037,10.0000,22.8584,0.594880,3.954311,-0.048002
5400,385,0.2182,-10.0000,-5.6364,10.0000,25.9714,-0.030574,3.537004,-0.047856
5500,419,0.1885,-10.0000,-6.2291,10.0000,23.8210,0.078495,2.900811,-0.048307
5600,450,0.1600,-10.0000,-6.8000,10.0000,22.2467,0.516303,3.813903,-0.049721
5700,435,0.1563,-10.0000,-6.8736,10.0000,22.9839,0.049113,2.919658,-0.050289
5800,447,0.1454,-10.0000,-7.0917,10.0000,22.3937,0.373637,3.049781,-0.044985
5900,425,0.1624,-10.0000,-6.7529,10.0000,23.5247,-0.087741,2.821214,-0.047703
6000,445,0.1663,-10.0000,-6.6742,10.0000,22.4831,-0.163438,3.195864,-0.047723
6100,427,0.1686,-10.0000,-6.6276,10.0000,23.3747,0.395350,2.783664,-0.049535
6100,449,0.1581,-10.0000,-6.8374,10.0000,22.2361,0.466470,3.875425,-0.048709
6200,405,0.2025,-10.0000,-5.9506,10.0000,24.7210,0.879707,5.159531,-0.044517
6300,421,0.1734,-10.0000,-6.5321,10.0000,23.7435,0.011572,3.179936,-0.045647
6400,458,0.1616,-10.0000,-6.7686,10.0000,21.8428,0.373431,4.449929,-0.048864
6500,428,0.1682,-10.0000,-6.6355,10.0000,23.2593,0.240273,2.711842,-0.041833
6600,423,0.1749,-10.0000,-6.5012,10.0000,23.7234,0.470248,3.649005,-0.049654
6700,415,0.1735,-10.0000,-6.5301,10.0000,24.1253,0.056279,3.360462,-0.044306
6800,438,0.1484,-10.0000,-7.0320,10.0000,22.7877,0.469395,3.007614,-0.047787
6900,412,0.1578,-10.0000,-6.8447,10.0000,24.3180,-0.013149,3.487441,-0.043562
7000,426,0.1972,-10.0000,-6.0563,10.0000,23.4296,0.517930,2.696169,-0.044820
7100,434,0.1751,-10.0000,-6.4977,10.0000,23.0415,0.470277,3.248626,-0.043378
7200,413,0.1937,-10.0000,-6.1259,10.0000,24.2300,-0.074333,2.725888,-0.047145
7300,385,0.2390,-10.0000,-5.2208,10.0000,25.9584,0.445211,2.766327,-0.040211
7400,382,0.2382,-10.0000,-5.2356,10.0000,26.1806,-0.039314,2.211497,-0.040604
7500,402,0.2363,-10.0000,-5.2736,10.0000,24.9154,-0.064594,3.579644,-0.044136
7600,388,0.2500,-10.0000,-5.0000,10.0000,25.7577,0.111860,3.260194,-0.042823
7700,420,0.2119,-10.0000,-5.7619,10.0000,23.7238,-0.122264,1.466906,-0.040737
7800,397,0.2065,-10.0000,-5.8690,10.0000,25.2393,0.476090,5.125905,-0.045092
7900,393,0.2468,-10.0000,-5.0636,10.0000,25.5038,0.020858,3.662162,-0.040792
8000,417,0.2326,-10.0000,-5.3477,10.0000,23.9688,-0.043037,2.606251,-0.045846
8100,383,0.2454,-10.0000,-5.0914,10.0000,26.0392,0.548141,4.272979,-0.046258
8200,419,0.1790,-10.0000,-6.4200,10.0000,23.8544,0.256616,3.539952,-0.048480
8300,412,0.1626,-10.0000,-6.7476,10.0000,24.3471,0.318827,4.917965,-0.047269
8400,435,0.1678,-10.0000,-6.6437,10.0000,23.0000,0.286379,4.022264,-0.050166
8500,469,0.1535,-10.0000,-6.9296,10.0000,21.2324,0.025873,3.225868,-0.046029
8600,427,0.2084,-10.0000,-5.8314,10.0000,23.5152,-0.175315,3.303223,-0.045102
8700,434,0.1705,-10.0000,-6.5899,10.0000,23.0346,0.415116,3.055544,-0.047846
8800,406,0.1872,-10.0000,-6.2562,10.0000,24.6355,0.212716,3.791162,-0.041930
8900,385,0.2416,-10.0000,-5.1688,10.0000,25.9844,-0.269774,1.774393,-0.040095
9000,400,0.2225,-10.0000,-5.5500,10.0000,24.9625,0.439403,4.680302,-0.042265
9100,397,0.2166,-10.0000,-5.6675,10.0000,25.2267,0.410987,3.266961,-0.038776
9200,417,0.1775,-10.0000,-6.4508,10.0000,23.9784,0.321915,5.445550,-0.044179
9300,426,0.1925,-10.0000,-6.1502,10.0000,23.4061,0.688909,1.300459,-0.037452
9400,401,0.2195,-10.0000,-5.6110,10.0000,24.9551,0.190845,4.192138,-0.041549
9500,423,0.1773,-10.0000,-6.4539,10.0000,23.6217,0.399831,2.255256,-0.037905
9600,392,0.2296,-10.0000,-5.4082,10.0000,25.5663,0.237861,3.328771,-0.040138
9700,387,0.2222,-10.0000,-5.5556,10.0000,25.8243,0.041197,2.681250,-0.043237
9800,414,0.1908,-10.0000,-6.1836,10.0000,24.1184,0.524309,5.049707,-0.042202
9900,419,0.1981,-10.0000,-6.0382,10.0000,23.9093,0.075171,3.215282,-0.042419
10000,427,0.2061,-10.0000,-5.8782,10.0000,23.4286,-0.225836,2.131907,-0.040939
10100,403,0.2084,-10.0000,-5.8313,10.0000,24.8065,0.025780,4.321289,-0.048109
10200,388,0.2191,-10.0000,-5.6186,10.0000,25.7010,-0.158736,3.210580,-0.042838
10300,417,0.1894,-10.0000,-6.2110,10.0000,24.0312,-0.190901,2.842613,-0.044153
10400,403,0.2109,-10.0000,-5.7816,10.0000,24.8511,0.319968,3.180027,-0.039900
10500,429,0.1632,-10.0000,-6.7366,10.0000,23.2937,0.011638,3.532964,-0.044614
10600,471,0.1465,-10.0000,-7.0701,10.0000,21.2123,0.097595,2.250113,-0.043980
10700,433,0.1963,-10.0000,-6.0739,10.0000,23.1178,0.478569,1.340212,-0.039192
10800,391,0.1995,-10.0000,-6.0102,10.0000,25.4962,0.044785,2.971367,-0.043960
10900,378,0.2593,-10.0000,-4.8148,10.0000,26.4656,-0.148765,2.830539,-0.039367
11000,413,0.2082,-10.0000,-5.8354,10.0000,24.2518,0.378099,5.123621,-0.042646
11100,375,0.2533,-10.0000,-4.9333,10.0000,26.7067,0.408437,5.391048,-0.039546
11200,377,0.2361,-10.0000,-5.2785,10.0000,26.5385,-0.247181,3.236393,-0.040539
11300,407,0.1867,-10.0000,-6.2654,10.0000,24.4816,-0.136779,1.432581,-0.041299
11400,408,0.2059,-10.0000,-5.8824,10.0000,24.5539,0.454049,4.957795,-0.046163
11500,393,0.2341,-10.0000,-5.3181,10.0000,25.4097,0.549663,3.525885,-0.043004
11600,386,0.2124,-10.0000,-5.7513,10.0000,25.9145,0.307190,0.789939,-0.039016
11700,383,0.2480,-10.0000,-5.0392,10.0000,26.1279,0.493134,5.486315,-0.040769
11800,389,0.2082,-10.0000,-5.8355,10.0000,25.7352,0.499044,4.823090,-0.044486
11900,408,0.1985,-10.0000,-6.0294,10.0000,24.4853,0.269088,2.810252,-0.039806
12000,408,0.2157,-10.0000,-5.6863,10.0000,24.5343,0.037489,3.004694,-0.038428
12100,395,0.2051,-10.0000,-5.8987,10.0000,25.3114,0.487474,3.181146,-0.040348
12200,399,0.2030,-10.0000,-5.9398,10.0000,24.9925,0.277039,3.596907,-0.038220
12300,423,0.1820,-10.0000,-6.3593,10.0000,23.7139,0.244978,3.174924,-0.038175
12400,381,0.2310,-10.0000,-5.3806,10.0000,26.1916,0.229253,5.279807,-0.041500
12500,420,0.1952,-10.0000,-6.0952,10.0000,23.8643,0.346491,3.449172,-0.037159
12600,383,0.2454,-10.0000,-5.0914,10.0000,26.1253,-0.204871,2.743258,-0.040497
12700,373,0.2440,-10.0000,-5.1206,10.0000,26.7265,-0.213827,1.738840,-0.040541
