Alice Training On size: w=5, h=5, c=4
batch,num_episodes,win_rate,min_score,avg_score,max_score,avg_length,actor_loss,value_loss,entropy_loss
100,1933,0.6187,-10.0000,2.3745,10.0000,10.3420,0.015451,2.200436,-0.024850
200,1967,0.5999,-10.0000,1.9980,10.0000,10.1708,-0.013050,4.530687,-0.029993
300,1912,0.6255,-10.0000,2.5105,10.0000,10.4618,-0.001829,5.318109,-0.026464
400,1901,0.6307,-10.0000,2.6144,10.0000,10.5181,0.001961,4.837657,-0.027536
500,1924,0.6289,-10.0000,2.5780,10.0000,10.3992,0.009789,2.905183,-0.027764
600,1899,0.6430,-10.0000,2.8594,10.0000,10.5266,-0.002252,2.657197,-0.022736
700,1889,0.6453,-10.0000,2.9063,10.0000,10.5903,-0.008644,5.253821,-0.021308
800,1873,0.6572,-10.0000,3.1447,10.0000,10.6770,-0.014893,2.227458,-0.026175
900,1891,0.6489,-10.0000,2.9773,10.0000,10.5780,0.000244,2.152208,-0.016004
1000,1832,0.7074,-10.0000,4.1485,10.0000,10.9132,-0.004618,3.933466,-0.021312
1100,1885,0.6631,-10.0000,3.2626,10.0000,10.6101,-0.009130,2.772995,-0.019223
1200,1856,0.6961,-10.0000,3.9224,10.0000,10.7812,-0.012065,4.101862,-0.019034
1300,1876,0.6668,-10.0000,3.3369,10.0000,10.6583,-0.006737,2.596493,-0.023681
1400,1877,0.6649,-10.0000,3.2978,10.0000,10.6526,0.011212,4.413305,-0.025236
1500,1859,0.6735,-10.0000,3.4696,10.0000,10.7590,-0.014851,2.571560,-0.021741
1600,1764,0.7557,-10.0000,5.1134,10.0000,11.3413,-0.030951,0.834605,-0.018884
1700,1693,0.8210,-10.0000,6.4206,10.0000,11.8133,-0.004222,1.120650,-0.016498
1800,1645,0.8650,-10.0000,7.3009,10.0000,12.1538,-0.006607,0.416901,-0.017038
1900,1641,0.8684,-10.0000,7.3675,10.0000,12.1907,-0.031217,1.830180,-0.021447
2000,1619,0.8968,-10.0000,7.9370,10.0000,12.3539,-0.007505,1.327989,-0.018750
2100,1604,0.9183,-10.0000,8.3666,10.0000,12.4682,-0.008107,0.002750,-0.016924
2100,1618,0.8943,-10.0000,7.8863,10.0000,12.3554,-0.020566,0.005372,-0.017839
2200,1606,0.9110,-10.0000,8.2192,10.0000,12.4514,-0.005141,0.569413,-0.013339
2300,1581,0.9412,-10.0000,8.8235,10.0000,12.6534,-0.005695,0.628202,-0.017134
2400,1578,0.9499,-10.0000,8.9987,10.0000,12.6781,-0.002779,0.333851,-0.020458
2500,1579,0.9462,-10.0000,8.9234,10.0000,12.6650,0.007429,0.208357,-0.011779
2600,1576,0.9492,-10.0000,8.9848,10.0000,12.6897,-0.005255,1.119431,-0.015625
2700,1572,0.9580,-10.0000,9.1603,10.0000,12.7188,-0.014489,0.387227,-0.016451
2800,1570,0.9592,-10.0000,9.1847,10.0000,12.7395,-0.006611,0.001988,-0.017113
2900,1585,0.9451,-10.0000,8.9022,10.0000,12.6202,-0.023074,0.004115,-0.018434
3000,1583,0.9450,-10.0000,8.9008,10.0000,12.6355,-0.008360,0.462420,-0.021072
