Alice Training On size: w=20, h=5, c=4
batch,num_episodes,win_rate,min_score,avg_score,max_score,avg_length,actor_loss,value_loss,entropy_loss
100,403,0.1762,-10.0000,-6.4764,10.0000,24.7320,0.497233,3.680237,-0.044955
200,379,0.2137,-10.0000,-5.7256,10.0000,26.3826,0.074774,3.982157,-0.052699
300,386,0.2073,-10.0000,-5.8549,10.0000,25.9145,-0.076029,3.009515,-0.048703
400,378,0.1878,-10.0000,-6.2434,10.0000,26.4868,-0.345071,2.700288,-0.049618
500,387,0.1835,-10.0000,-6.3307,10.0000,25.8786,0.612105,3.979246,-0.049737
600,390,0.2103,-10.0000,-5.7949,10.0000,25.5974,-0.150077,2.278042,-0.047218
700,365,0.2164,-10.0000,-5.6712,10.0000,27.4055,0.078047,2.481344,-0.048057
800,363,0.2287,-10.0000,-5.4270,10.0000,27.5289,0.453601,4.892175,-0.051002
900,394,0.1904,-10.0000,-6.1929,10.0000,25.4340,-0.343029,3.508009,-0.049462
1000,365,0.2055,-10.0000,-5.8904,10.0000,27.3397,0.252229,3.354960,-0.052701
1100,389,0.1825,-10.0000,-6.3496,10.0000,25.6735,0.009146,2.708383,-0.046847
1200,346,0.2457,-10.0000,-5.0867,10.0000,29.0029,0.054770,2.878636,-0.047319
1300,375,0.1787,-10.0000,-6.4267,10.0000,26.6213,0.315624,2.983105,-0.052290
1400,363,0.2259,-10.0000,-5.4821,10.0000,27.6088,0.244387,4.169581,-0.046279
1500,348,0.1983,-10.0000,-6.0345,10.0000,28.6580,0.335461,2.536805,-0.050201
1600,395,0.1924,-10.0000,-6.1519,10.0000,25.3620,0.475075,4.795372,-0.050411
1700,380,0.1974,-10.0000,-6.0526,10.0000,26.3158,0.541298,2.570569,-0.043822
1800,365,0.2247,-10.0000,-5.5068,10.0000,27.2986,0.035081,3.342931,-0.049009
1900,387,0.2119,-10.0000,-5.7623,10.0000,25.9044,0.646160,3.387366,-0.045380
2000,385,0.1844,-10.0000,-6.3117,10.0000,25.9065,0.769342,4.382165,-0.044978
2100,379,0.2375,-10.0000,-5.2507,10.0000,26.4749,0.243135,4.512285,-0.053690
2200,376,0.1888,-10.0000,-6.2234,10.0000,26.6011,-0.179581,2.985631,-0.046402
2300,374,0.2299,-10.0000,-5.4011,10.0000,26.6979,0.177535,3.103498,-0.044733
2400,351,0.2336,-10.0000,-5.3276,10.0000,28.4986,-0.098315,2.857558,-0.046530
2500,395,0.1899,-10.0000,-6.2025,10.0000,25.3671,-0.095110,3.072263,-0.047688
2600,375,0.1707,-10.0000,-6.5867,10.0000,26.6133,0.245829,2.383385,-0.049102
2700,364,0.2363,-10.0000,-5.2747,10.0000,27.4890,0.531662,3.773969,-0.050087
2800,379,0.1821,-10.0000,-6.3588,10.0000,26.4274,-0.004847,3.136533,-0.046356
2900,354,0.2345,-10.0000,-5.3107,10.0000,28.1751,0.347090,2.981150,-0.044866
3000,385,0.2078,-10.0000,-5.8442,10.0000,25.9766,0.230047,2.811922,-0.045748
3100,387,0.2067,-10.0000,-5.8656,10.0000,25.9044,0.307743,3.976901,-0.049446
3200,347,0.2219,-10.0000,-5.5620,10.0000,28.6916,-0.088457,3.526870,-0.048129
3300,361,0.2493,-10.0000,-5.0139,10.0000,27.7729,0.396820,4.106310,-0.049614
3400,379,0.2164,-10.0000,-5.6728,10.0000,26.4354,0.120874,4.135719,-0.044879
3500,347,0.2421,-10.0000,-5.1585,10.0000,28.7464,0.129311,2.627971,-0.045100
3600,353,0.2380,-10.0000,-5.2408,10.0000,28.2975,-0.143609,3.080093,-0.045916
3700,357,0.2437,-10.0000,-5.1261,10.0000,28.1120,-0.375321,2.041576,-0.042226
