Alice Training On size: w=7, h=7, c=4
batch,num_episodes,win_rate,min_score,avg_score,max_score,avg_length,actor_loss,value_loss,entropy_loss
0,9,0.1111,-10.9000,-5.8778,20.8000,10.7778,-0.459856,7.240673,-0.046000
100,899,0.1146,-20.3000,-5.2815,33.8000,11.1190,0.052521,6.492673,-0.031144
200,760,0.2132,-18.4000,-0.9183,34.3000,13.1618,-0.060037,7.065272,-0.021397
300,701,0.2596,-17.4000,1.0852,37.8000,14.2682,-0.061202,6.167662,-0.017692
400,666,0.2958,-17.8000,2.3015,39.3000,15.0075,-0.376336,7.312840,-0.017875
500,710,0.2549,-17.1000,1.5332,34.3000,14.0887,-0.280441,4.963737,-0.015272
600,703,0.2760,-17.4000,2.4693,36.8000,14.2176,-0.397817,5.780335,-0.016448
700,670,0.3448,-16.9000,4.2858,34.3000,14.9328,-0.352007,6.404924,-0.022436
800,704,0.3011,-17.5000,2.9459,36.3000,14.1776,-0.326985,6.544819,-0.017245
900,626,0.3946,-16.9000,5.9481,36.3000,16.0080,-0.452707,7.143210,-0.023223
1000,662,0.3399,-16.5000,3.9601,36.3000,15.0982,-0.147698,5.713344,-0.018637
1100,631,0.4025,-16.1000,6.0867,35.3000,15.8510,-0.258758,5.542284,-0.018342
1200,612,0.4248,-10.1000,6.1949,35.8000,16.3415,-0.121434,5.563136,-0.022887
1300,614,0.4121,-18.5000,5.6840,34.8000,16.2687,-0.032928,5.788298,-0.022323
1400,631,0.4041,-16.0000,5.1100,33.8000,15.8685,0.004258,4.966668,-0.017234
1500,588,0.4541,-15.9000,7.5641,34.8000,16.9881,-0.301452,5.285438,-0.017291
1600,577,0.4783,-15.0000,8.6078,34.3000,17.3276,-0.000545,5.503749,-0.018097
1700,596,0.4530,-14.8000,7.7030,36.8000,16.7970,0.014516,4.597850,-0.017864
1800,533,0.5704,-14.8000,11.1550,34.3000,18.7636,-0.085864,4.217623,-0.016643
1600,573,0.5026,-15.7000,8.8908,32.3000,17.4171,-0.032593,6.064908,-0.020756
1700,568,0.5141,-15.6000,9.3016,35.8000,17.6268,0.186897,7.363157,-0.015272
1800,602,0.4468,-10.7000,6.8600,35.3000,16.6163,0.292227,7.031691,-0.018380
1900,548,0.5365,-13.1000,9.8892,37.3000,18.2245,0.132008,2.685593,-0.015642
2000,539,0.5714,-9.6000,10.8317,33.3000,18.5677,-0.105908,4.277987,-0.017120
2100,528,0.5852,-12.8000,11.4936,34.8000,18.9129,-0.266339,5.322450,-0.017902
2200,534,0.5880,-14.8000,12.0015,36.8000,18.7697,-0.206368,2.346935,-0.015081
2300,548,0.5547,-9.6000,10.6715,34.3000,18.2263,-0.006220,7.121562,-0.015030
2400,528,0.5909,-9.6000,11.3265,32.3000,18.9205,-0.140225,1.323784,-0.014993
2500,545,0.5468,-9.6000,10.1516,37.8000,18.3908,-0.055834,3.591698,-0.017024
2600,529,0.5841,-15.9000,11.3868,36.8000,18.8696,0.048613,3.306633,-0.016382
2700,521,0.6008,-16.2000,12.1125,35.8000,19.2207,-0.112717,7.345042,-0.016882
2800,524,0.6145,-14.3000,12.5601,36.8000,19.0916,0.300353,2.245812,-0.014920
2900,536,0.5653,-9.9000,10.8035,35.3000,18.6418,0.051114,0.791250,-0.017107
3000,533,0.5854,-16.2000,11.7379,35.8000,18.7561,0.303623,7.449899,-0.013353
3100,547,0.5539,-15.6000,10.9241,33.8000,18.2943,0.111532,6.806540,-0.012994
3200,560,0.5375,-9.6000,10.4459,36.8000,17.8232,0.192546,2.175330,-0.017285
3300,551,0.5517,-15.9000,10.9933,37.3000,18.1670,-0.022192,2.860716,-0.014910
3400,547,0.5576,-14.4000,10.8536,36.3000,18.2980,-0.006287,4.309842,-0.016493
3500,547,0.5631,-15.8000,11.1861,38.3000,18.2651,-0.098555,6.255136,-0.016220
3600,562,0.5374,-15.1000,10.2891,35.3000,17.8149,0.031413,3.772374,-0.017070
3700,539,0.5714,-9.4000,11.7445,35.3000,18.5492,0.037259,3.553002,-0.015642
3800,540,0.5796,-15.7000,11.9367,39.8000,18.5167,-0.044100,2.351869,-0.015491
3900,542,0.5812,-13.7000,11.9528,43.3000,18.4207,-0.298624,2.598488,-0.018084
4000,547,0.5704,-11.7000,11.9837,37.3000,18.3181,0.108366,6.691596,-0.015303
4100,543,0.5764,-12.7000,11.9103,37.3000,18.4015,0.227655,6.019680,-0.013425
4200,537,0.5829,-8.6000,12.1885,36.3000,18.6276,0.050763,3.813922,-0.013757
4300,534,0.5824,-8.6000,12.6532,35.8000,18.7322,0.099919,5.066518,-0.010544
4400,522,0.6092,-14.4000,13.5502,41.3000,19.1341,-0.054487,3.862923,-0.013056
4500,522,0.6245,-8.6000,13.9805,38.8000,19.1782,0.069674,4.560262,-0.011458
4600,544,0.5754,-8.6000,12.5654,39.3000,18.3768,0.121139,7.594119,-0.010394
4700,535,0.5776,-14.0000,12.9331,36.3000,18.7028,0.069398,4.294473,-0.011263
4800,523,0.6252,-11.2000,13.9807,38.8000,19.1013,-0.088807,3.497013,-0.010475
4900,525,0.6019,-8.6000,13.3945,40.8000,19.0438,-0.050712,4.008268,-0.011990
5000,523,0.6119,-15.0000,13.7143,36.8000,19.1128,-0.015364,6.277052,-0.011978
5100,558,0.5394,-9.6000,11.7143,41.8000,17.9319,-0.076795,5.988057,-0.010538
5200,527,0.6186,-13.7000,13.9116,36.8000,18.9734,-0.119273,2.176148,-0.011666
5300,537,0.5847,-8.7000,13.2343,42.3000,18.6425,-0.063737,5.578989,-0.010802
5400,550,0.5636,-9.2000,12.2675,37.8000,18.1691,0.137994,4.940843,-0.011333
5500,542,0.5683,-9.6000,12.6151,38.8000,18.4576,-0.199353,6.008263,-0.012232
5600,547,0.5594,-15.0000,11.8998,35.8000,18.2505,0.125271,2.785843,-0.012548
5700,546,0.5696,-13.9000,12.3709,37.8000,18.3168,0.338670,6.166317,-0.012388
5800,543,0.5709,-9.6000,12.7287,39.3000,18.4328,-0.193395,4.115232,-0.012060
5900,524,0.6088,-14.7000,13.9057,37.8000,19.0878,-0.241773,2.302042,-0.013498
6000,520,0.6173,-15.8000,14.4302,36.8000,19.2231,0.191450,2.962674,-0.012258
6100,534,0.5936,-8.9000,13.6217,38.3000,18.7434,0.079386,3.491509,-0.011974
6200,537,0.5885,-12.4000,13.0782,42.3000,18.6164,0.145038,6.223631,-0.011223
6300,519,0.6281,-9.6000,14.6042,38.8000,19.2428,0.101443,2.897211,-0.013434
6400,534,0.5861,-9.9000,13.2700,38.8000,18.7360,0.008703,6.276745,-0.010572
6500,554,0.5451,-15.2000,12.0767,37.8000,18.0578,-0.080034,7.631750,-0.010939
