Alice Training On size: w=7, h=7, c=4
batch,num_episodes,win_rate,min_score,avg_score,max_score,avg_length,actor_loss,value_loss,entropy_loss
0,10,0.0000,-10.6000,-9.5100,-8.4000,8.7000,0.054204,5.917998,-0.048540
100,846,0.1537,-19.7000,-3.5710,33.8000,11.8239,-0.147418,7.008145,-0.031052
200,639,0.3615,-17.7000,4.0279,32.8000,15.6307,-0.332098,5.916465,-0.017740
300,602,0.4302,-17.2000,6.6435,36.8000,16.6096,-0.254709,5.443136,-0.014658
400,590,0.4593,-14.0000,6.7420,35.3000,16.9644,-0.236465,4.374474,-0.016577
500,573,0.4677,-15.1000,7.9749,37.3000,17.4625,0.008677,5.616755,-0.012486
600,566,0.4965,-15.1000,8.8611,34.8000,17.6731,-0.340867,5.841844,-0.015038
700,535,0.5607,-15.2000,10.3585,33.3000,18.6804,-0.089981,2.276556,-0.012859
800,541,0.5508,-10.1000,10.4039,34.8000,18.4861,-0.005620,2.920959,-0.010552
900,535,0.5738,-14.0000,10.0097,33.8000,18.6654,0.026196,3.511859,-0.012202
1000,544,0.5588,-18.7000,9.4783,32.8000,18.3824,-0.039714,3.974266,-0.011661
1100,532,0.5902,-16.7000,10.8421,34.3000,18.8102,0.114659,2.901917,-0.012338
1200,553,0.5353,-9.7000,9.3631,33.3000,18.0958,-0.035650,3.929003,-0.011841
1300,518,0.6178,-15.1000,11.7066,33.3000,19.2915,-0.287066,1.600090,-0.012754
1400,527,0.6300,-14.1000,11.8531,34.8000,19.0038,0.284130,5.105453,-0.009715
1500,514,0.6342,-19.2000,12.1973,36.8000,19.4572,-0.123032,2.345167,-0.011432
1600,556,0.5450,-15.5000,9.6041,33.3000,17.9730,-0.077452,7.866001,-0.010373
1700,533,0.5854,-9.6000,10.5471,31.8000,18.7448,-0.106461,6.079658,-0.009051
1800,524,0.5992,-14.1000,12.1435,34.3000,19.1126,-0.130071,6.373151,-0.009343
1900,526,0.5951,-16.1000,11.9112,34.8000,19.0019,0.040386,9.222459,-0.009308
2000,526,0.5856,-10.2000,11.5274,32.3000,18.9886,-0.128476,7.058592,-0.010985
2100,541,0.5767,-15.2000,11.5867,32.8000,18.4806,0.037999,5.135494,-0.012073
2200,512,0.6387,-8.6000,14.0715,36.3000,19.5605,0.170346,2.632072,-0.012212
2300,523,0.6176,-11.5000,13.4587,35.3000,19.1205,0.077553,3.051244,-0.013109
2400,530,0.6057,-8.6000,13.4757,37.3000,18.8547,0.091631,2.680445,-0.010441
2500,515,0.6272,-7.4000,14.1280,35.8000,19.4408,-0.002214,2.998455,-0.012025
2600,524,0.6183,-12.9000,13.5069,38.8000,19.0782,0.069098,9.789951,-0.009660
2700,527,0.6072,-8.6000,13.1213,36.8000,18.9734,0.161195,3.343776,-0.010295
2800,532,0.6034,-10.5000,13.0017,35.3000,18.8045,0.025244,8.693147,-0.010936
2900,541,0.5860,-13.6000,12.6383,35.3000,18.4658,-0.311143,3.504447,-0.009789
3000,513,0.6491,-13.5000,14.6000,37.3000,19.5068,-0.001318,4.275046,-0.009859
3100,498,0.6787,-13.8000,15.8275,36.8000,20.0522,0.029384,3.194614,-0.009351
3200,515,0.6369,-13.9000,14.7231,36.8000,19.4505,0.075878,1.632104,-0.008617
3300,510,0.6608,-8.6000,15.3102,38.3000,19.5804,0.065843,8.633707,-0.008565
3400,506,0.6601,-14.7000,16.5296,42.3000,19.7846,0.084924,5.313379,-0.007371
3500,535,0.5925,-16.0000,14.6740,41.3000,18.6598,0.006187,7.273942,-0.009759
3600,530,0.6075,-12.4000,14.6640,40.8000,18.8811,-0.039198,5.364419,-0.009104
3700,519,0.6166,-8.6000,15.3636,39.8000,19.2775,-0.092993,3.092294,-0.008978
3800,523,0.6367,-17.4000,15.4916,38.8000,19.0937,0.060664,3.562433,-0.008924
3900,507,0.6726,-13.7000,17.0282,42.8000,19.7653,-0.064148,1.393258,-0.008337
4000,541,0.5860,-11.4000,14.2318,40.3000,18.4621,0.148214,3.951623,-0.008763
4100,515,0.6408,-12.7000,15.6511,40.8000,19.4155,-0.070188,4.140041,-0.008692
4200,502,0.6733,-8.6000,16.6839,38.8000,19.9124,-0.157181,1.077296,-0.008727
4300,518,0.6255,-8.6000,15.2531,39.8000,19.3166,0.085926,5.686174,-0.007579
4400,511,0.6458,-13.7000,16.0278,38.8000,19.5930,-0.003399,10.894273,-0.007226
4500,528,0.6004,-15.0000,14.9246,39.3000,18.9375,-0.125207,5.013195,-0.006707
4600,524,0.6240,-13.7000,15.3534,38.3000,19.0840,0.026671,4.110208,-0.007102
4700,511,0.6399,-13.0000,16.1198,45.3000,19.5734,-0.044836,8.670847,-0.007105
4800,520,0.6308,-8.6000,16.0200,38.8000,19.2058,0.034157,6.829332,-0.007443
4900,523,0.6252,-16.2000,15.8558,43.8000,19.1415,0.039791,4.915405,-0.007439
