Alice Training On size: w=5, h=5, c=3
batch,num_episodes,win_rate,min_score,avg_score,max_score,avg_length,actor_loss,value_loss,entropy_loss
100,1337,0.1653,-10.0000,-6.6941,10.0000,7.4794,-0.437261,4.247883,-0.031224
200,1283,0.1839,-10.0000,-6.3211,10.0000,7.7950,0.156306,5.109143,-0.026487
300,1280,0.1875,-10.0000,-6.2500,10.0000,7.8109,0.119447,3.944786,-0.027147
400,1169,0.2729,-10.0000,-4.5423,10.0000,8.5518,-0.008292,5.324225,-0.018367
500,1069,0.4256,-10.0000,-1.4874,10.0000,9.3592,-0.079362,3.780480,-0.011368
600,978,0.5828,-10.0000,1.6564,10.0000,10.2198,-0.263999,3.125295,-0.009342
700,965,0.6197,-10.0000,2.3938,10.0000,10.3637,0.019487,2.876553,-0.008832
800,954,0.6174,-10.0000,2.3480,10.0000,10.4790,-0.027242,2.656042,-0.007000
900,940,0.6521,-10.0000,3.0426,10.0000,10.6362,-0.000251,4.226346,-0.008836
1000,957,0.6092,-10.0000,2.1839,10.0000,10.4566,-0.026361,2.321773,-0.007514
1100,941,0.6429,-10.0000,2.8587,10.0000,10.6196,-0.072510,1.817330,-0.008503
1200,950,0.6537,-10.0000,3.0737,10.0000,10.5316,0.066999,4.225810,-0.007335
1300,954,0.6478,-10.0000,2.9560,10.0000,10.4832,0.044021,1.050361,-0.007202
1400,957,0.6290,-10.0000,2.5810,10.0000,10.4472,0.119912,0.892621,-0.007578
1500,973,0.6177,-10.0000,2.3535,10.0000,10.2754,-0.004874,0.857190,-0.007387
1600,971,0.6210,-10.0000,2.4202,10.0000,10.2935,0.021612,2.589154,-0.006696
1700,927,0.6818,-10.0000,3.6354,10.0000,10.7983,0.037731,0.696571,-0.007717
1800,959,0.6361,-10.0000,2.7216,10.0000,10.4192,0.138556,3.240394,-0.008263
1900,937,0.6766,-10.0000,3.5326,10.0000,10.6798,-0.126115,2.186753,-0.007472
2000,943,0.6660,-10.0000,3.3192,10.0000,10.6023,0.001284,2.209898,-0.007209
2100,949,0.6502,-10.0000,3.0032,10.0000,10.5406,0.081106,2.674876,-0.009172
2200,929,0.6921,-10.0000,3.8428,10.0000,10.7632,-0.031797,1.781252,-0.008700
2300,932,0.6835,-10.0000,3.6695,10.0000,10.7296,0.014861,3.160463,-0.005914
2400,929,0.6642,-10.0000,3.2831,10.0000,10.7621,0.047296,1.964673,-0.008019
2500,933,0.6827,-10.0000,3.6549,10.0000,10.7203,0.034542,2.035137,-0.007348
2600,927,0.6785,-10.0000,3.5707,10.0000,10.7789,0.065538,3.470654,-0.006640
2700,937,0.6809,-10.0000,3.6179,10.0000,10.6766,0.041257,0.872792,-0.007262
2800,933,0.6752,-10.0000,3.5048,10.0000,10.7149,-0.166780,5.468473,-0.008410
2900,948,0.6477,-10.0000,2.9536,10.0000,10.5591,-0.047486,0.060667,-0.008211
3000,934,0.6756,-10.0000,3.5118,10.0000,10.7013,-0.019604,0.358470,-0.009028
3100,926,0.6901,-10.0000,3.8013,10.0000,10.7937,-0.084814,0.968601,-0.009344
3200,934,0.6713,-10.0000,3.4261,10.0000,10.7163,0.076373,3.754608,-0.009393
3300,927,0.6893,-10.0000,3.7864,10.0000,10.7864,-0.130158,3.825754,-0.008709
3400,928,0.6853,-10.0000,3.7069,10.0000,10.7769,-0.031044,1.852128,-0.009053
3500,937,0.6820,-10.0000,3.6393,10.0000,10.6606,-0.012831,1.543646,-0.009038
3600,930,0.6968,-10.0000,3.9355,10.0000,10.7624,-0.072315,2.983804,-0.007743
3700,950,0.6737,-10.0000,3.4737,10.0000,10.5179,-0.076958,2.618642,-0.009751
3800,922,0.7082,-10.0000,4.1649,10.0000,10.8460,0.154073,2.979918,-0.009620
3900,949,0.6828,-10.0000,3.6565,10.0000,10.5374,0.004781,1.794774,-0.008253
4000,936,0.7019,-10.0000,4.0385,10.0000,10.6870,0.095794,0.727412,-0.008762
4100,945,0.6847,-10.0000,3.6931,10.0000,10.5862,-0.147336,2.173928,-0.008483
4200,932,0.6985,-10.0000,3.9700,10.0000,10.7232,0.069712,1.198486,-0.007529
4300,925,0.7103,-10.0000,4.2054,10.0000,10.8195,0.080685,2.551118,-0.010077
4400,940,0.7021,-10.0000,4.0426,10.0000,10.6394,-0.131655,1.165631,-0.008713
4500,911,0.7300,-10.0000,4.5993,10.0000,10.9649,0.072546,1.212354,-0.009065
4600,918,0.7298,-10.0000,4.5969,10.0000,10.9041,-0.090764,3.246271,-0.007542
4700,921,0.7275,-10.0000,4.5494,10.0000,10.8567,0.129816,1.609715,-0.009900
4800,928,0.7091,-10.0000,4.1810,10.0000,10.7705,0.022781,2.060360,-0.008879
4900,934,0.7024,-10.0000,4.0471,10.0000,10.7045,0.126766,1.433077,-0.008423
5000,928,0.7091,-10.0000,4.1810,10.0000,10.7834,0.102338,1.763390,-0.009899
5100,935,0.7070,-10.0000,4.1390,10.0000,10.6973,-0.090521,0.252781,-0.010819
5200,922,0.7234,-10.0000,4.4685,10.0000,10.8460,0.042922,2.043453,-0.008824
5300,910,0.7363,-10.0000,4.7253,10.0000,10.9824,0.032434,1.189837,-0.009600
5400,929,0.7137,-10.0000,4.2734,10.0000,10.7621,0.000900,1.048042,-0.009256
5500,927,0.7282,-10.0000,4.5631,10.0000,10.7940,0.086651,0.978810,-0.008882
5600,924,0.7143,-10.0000,4.2857,10.0000,10.8214,-0.027549,1.278392,-0.010459
5700,914,0.7330,-10.0000,4.6608,10.0000,10.9431,0.208966,3.055705,-0.009209
5800,935,0.7037,-10.0000,4.0749,10.0000,10.6888,0.047864,1.001411,-0.008449
5900,929,0.7061,-10.0000,4.1227,10.0000,10.7675,0.112308,2.983208,-0.008776
6000,929,0.7040,-10.0000,4.0797,10.0000,10.7621,-0.186496,1.727596,-0.008975
6100,919,0.7388,-10.0000,4.7769,10.0000,10.8836,0.080118,0.710654,-0.008169
6200,917,0.7296,-10.0000,4.5911,10.0000,10.8997,0.000647,1.422845,-0.008790
6300,908,0.7456,-10.0000,4.9119,10.0000,11.0220,0.206151,2.324993,-0.009701
6400,907,0.7519,-10.0000,5.0386,10.0000,11.0243,-0.100445,1.783012,-0.008360
6500,898,0.7550,-10.0000,5.1002,10.0000,11.1314,0.038487,2.992996,-0.008585
6600,903,0.7553,-10.0000,5.1052,10.0000,11.0808,0.129719,2.274798,-0.008188
6700,941,0.6971,-10.0000,3.9426,10.0000,10.6281,0.004062,3.524070,-0.007955
6800,931,0.6992,-10.0000,3.9850,10.0000,10.7401,-0.034500,1.912183,-0.006897
6900,915,0.7169,-10.0000,4.3388,10.0000,10.9290,0.076299,0.175372,-0.008501
7000,934,0.7099,-10.0000,4.1970,10.0000,10.6949,-0.050207,1.602577,-0.008790
7100,914,0.7407,-10.0000,4.8140,10.0000,10.9409,0.036438,4.877302,-0.008121
7200,931,0.7186,-10.0000,4.3716,10.0000,10.7497,0.012212,0.586972,-0.007978
7300,925,0.7232,-10.0000,4.4649,10.0000,10.8141,-0.116645,0.048425,-0.007908
7400,918,0.7320,-10.0000,4.6405,10.0000,10.8911,0.031179,2.332535,-0.008949
7500,911,0.7431,-10.0000,4.8628,10.0000,10.9704,0.018340,1.099614,-0.009909
7600,914,0.7298,-10.0000,4.5952,10.0000,10.9420,0.058897,3.200888,-0.008259
7700,909,0.7217,-10.0000,4.4334,10.0000,10.9989,0.099909,3.269361,-0.008718
7800,923,0.7205,-10.0000,4.4095,10.0000,10.8342,-0.012346,0.747407,-0.009588
7900,927,0.7141,-10.0000,4.2826,10.0000,10.7940,-0.120213,1.730087,-0.009115
8000,918,0.7298,-10.0000,4.5969,10.0000,10.8954,-0.034743,1.480925,-0.009444
8100,904,0.7412,-10.0000,4.8230,10.0000,11.0520,0.054609,1.551468,-0.008859
8200,919,0.7301,-10.0000,4.6028,10.0000,10.8879,0.172221,2.478813,-0.008701
8300,897,0.7581,-10.0000,5.1616,10.0000,11.1472,0.013507,2.201598,-0.009795
8400,907,0.7420,-10.0000,4.8401,10.0000,11.0276,0.037349,2.188222,-0.009103
8500,929,0.7201,-10.0000,4.4026,10.0000,10.7557,0.055562,1.016036,-0.008550
8600,901,0.7547,-10.0000,5.0943,10.0000,11.0999,-0.306411,1.737622,-0.009389
8700,909,0.7448,-10.0000,4.8955,10.0000,11.0000,0.083693,2.187423,-0.010291
8800,920,0.7239,-10.0000,4.4783,10.0000,10.8739,0.094703,3.376796,-0.008373
8900,903,0.7564,-10.0000,5.1274,10.0000,11.0698,-0.053638,2.496083,-0.009823
9000,906,0.7318,-10.0000,4.6358,10.0000,11.0475,-0.042721,1.297692,-0.009980
9100,908,0.7346,-10.0000,4.6916,10.0000,11.0121,0.006016,2.262085,-0.010108
9200,893,0.7458,-10.0000,4.9160,10.0000,11.2016,-0.083065,3.732313,-0.008230
9300,922,0.7278,-10.0000,4.5553,10.0000,10.8373,0.032086,2.686119,-0.008812
9400,899,0.7553,-10.0000,5.1057,10.0000,11.1279,-0.031494,1.207790,-0.011582
9500,911,0.7278,-10.0000,4.5554,10.0000,10.9715,0.108180,0.696494,-0.010816
9600,892,0.7646,-10.0000,5.2915,10.0000,11.2220,0.203095,1.837277,-0.009189
9700,893,0.7436,-10.0000,4.8712,10.0000,11.1982,0.135697,2.169377,-0.008661
9800,916,0.7085,-10.0000,4.1703,10.0000,10.9116,0.068751,3.930501,-0.008650
9900,911,0.7234,-10.0000,4.4676,10.0000,10.9726,0.010418,1.656820,-0.010163
10000,32,0.0312,-10.0000,-9.3750,10.0000,3.1250,0.004041,13.598898,-0.010281
10100,3236,0.0256,-10.0000,-9.4870,10.0000,3.0893,-0.129517,2.301690,-0.008398
10200,3209,0.0274,-10.0000,-9.4515,10.0000,3.1165,-0.072121,1.130432,-0.008212
10300,3097,0.0345,-10.0000,-9.3090,10.0000,3.2296,-0.156783,2.728558,-0.008947
10400,3146,0.0280,-10.0000,-9.4406,10.0000,3.1771,-0.022685,0.561235,-0.010100
10500,3162,0.0294,-10.0000,-9.4118,10.0000,3.1641,-0.096586,0.755417,-0.008456
10600,3099,0.0348,-10.0000,-9.3030,10.0000,3.2262,-0.066832,1.769137,-0.007547
10700,3096,0.0368,-10.0000,-9.2636,10.0000,3.2300,-0.240361,1.891271,-0.008282
10800,3039,0.0401,-10.0000,-9.1971,10.0000,3.2909,0.126580,0.186215,-0.007851
10900,3064,0.0366,-10.0000,-9.2689,10.0000,3.2634,0.156626,0.110124,-0.007865
11000,3062,0.0376,-10.0000,-9.2489,10.0000,3.2665,-0.003004,1.089200,-0.009454
11100,3129,0.0310,-10.0000,-9.3800,10.0000,3.1946,0.071114,2.056747,-0.008713
11200,3051,0.0413,-10.0000,-9.1740,10.0000,3.2779,-0.159670,0.832646,-0.009427
11300,3019,0.0467,-10.0000,-9.0659,10.0000,3.3133,-0.038243,0.628127,-0.007654
11400,3090,0.0379,-10.0000,-9.2427,10.0000,3.2362,-0.049897,0.096233,-0.006277
11500,3042,0.0398,-10.0000,-9.2045,10.0000,3.2863,-0.047756,0.859641,-0.007781
11600,3134,0.0325,-10.0000,-9.3491,10.0000,3.1914,0.100559,0.180500,-0.006906
11700,3017,0.0444,-10.0000,-9.1117,10.0000,3.3139,0.104943,0.203319,-0.007518
11800,3057,0.0389,-10.0000,-9.2215,10.0000,3.2712,0.050522,1.616425,-0.008448
11900,3015,0.0421,-10.0000,-9.1575,10.0000,3.3171,0.131844,0.168177,-0.007840
12000,3034,0.0425,-10.0000,-9.1496,10.0000,3.2966,-0.129024,2.065872,-0.007606
12100,3093,0.0391,-10.0000,-9.2176,10.0000,3.2331,-0.019090,1.190709,-0.006084
12200,3021,0.0460,-10.0000,-9.0798,10.0000,3.3095,0.062711,1.638885,-0.008036
12300,3003,0.0466,-10.0000,-9.0676,10.0000,3.3307,-0.129409,1.401599,-0.008773
12400,3029,0.0409,-10.0000,-9.1812,10.0000,3.3008,0.145695,0.569750,-0.007810
12500,2984,0.0456,-10.0000,-9.0885,10.0000,3.3509,0.024377,1.361232,-0.008290
12600,3045,0.0381,-10.0000,-9.2381,10.0000,3.2847,-0.174644,1.854234,-0.009203
12700,3002,0.0446,-10.0000,-9.1073,10.0000,3.3308,0.078276,1.388370,-0.009058
12800,2953,0.0501,-10.0000,-8.9976,10.0000,3.3854,-0.091224,0.724800,-0.010182
12900,2877,0.0601,-10.0000,-8.7974,10.0000,3.4758,-0.206649,2.436516,-0.008199
13000,2860,0.0636,-10.0000,-8.7273,10.0000,3.4983,-0.028472,2.496605,-0.007993
13100,2833,0.0628,-10.0000,-8.7434,10.0000,3.5288,-0.106902,2.495602,-0.007781
13200,2802,0.0689,-10.0000,-8.6224,10.0000,3.5700,0.004782,2.797986,-0.008751
13300,2746,0.0725,-10.0000,-8.5506,10.0000,3.6406,-0.109052,2.084419,-0.007803
13400,2816,0.0685,-10.0000,-8.6293,10.0000,3.5518,-0.082797,2.479855,-0.007574
13500,2768,0.0679,-10.0000,-8.6416,10.0000,3.6127,-0.117304,2.461548,-0.011424
13600,2696,0.0812,-10.0000,-8.3754,10.0000,3.7088,-0.045431,1.573783,-0.008727
13700,2721,0.0812,-10.0000,-8.3756,10.0000,3.6751,-0.040236,2.458994,-0.007999
13800,2684,0.0842,-10.0000,-8.3159,10.0000,3.7258,0.042071,1.782993,-0.008521
13900,2742,0.0784,-10.0000,-8.4318,10.0000,3.6473,-0.015400,0.686040,-0.007369
14000,2666,0.0855,-10.0000,-8.2896,10.0000,3.7509,-0.005009,1.341912,-0.007970
14100,2726,0.0836,-10.0000,-8.3272,10.0000,3.6680,0.078632,0.140576,-0.007937
14200,2566,0.0974,-10.0000,-8.0514,10.0000,3.8979,0.105156,1.606527,-0.009759
14300,2507,0.0973,-10.0000,-8.0535,10.0000,3.9872,-0.139409,2.512253,-0.008063
14400,2455,0.1051,-10.0000,-7.8982,10.0000,4.0717,-0.052918,1.908172,-0.007842
14500,2411,0.1087,-10.0000,-7.8266,10.0000,4.1460,-0.067946,2.325751,-0.008456
14600,2374,0.1184,-10.0000,-7.6327,10.0000,4.2123,-0.164937,2.477482,-0.008682
14700,2364,0.1201,-10.0000,-7.5973,10.0000,4.2348,-0.098922,1.890066,-0.008644
14800,2384,0.1216,-10.0000,-7.5671,10.0000,4.1946,-0.115156,2.653742,-0.009391
14900,2455,0.1088,-10.0000,-7.8248,10.0000,4.0737,0.008591,1.542167,-0.008784
15000,2468,0.1062,-10.0000,-7.8768,10.0000,4.0494,0.020889,1.466155,-0.006909
15100,2688,0.0844,-10.0000,-8.3110,10.0000,3.7214,-0.035645,1.978935,-0.007149
