Alice Training On size: w=7, h=7, c=4
batch,num_episodes,win_rate,min_score,avg_score,max_score,avg_length,actor_loss,value_loss,entropy_loss
0,8,0.2500,-10.8000,-2.4750,18.8000,12.3750,-0.749473,7.858814,-0.043748
100,934,0.0996,-20.3000,-6.1747,32.8000,10.7045,0.282139,1.364394,-0.039889
200,864,0.1551,-20.0000,-4.0606,37.3000,11.5590,-0.043295,5.234855,-0.032581
300,712,0.2781,-19.7000,1.2393,33.3000,14.0646,-0.305860,6.834894,-0.024876
400,632,0.3639,-14.9000,4.4584,33.3000,15.8117,-0.106736,6.599080,-0.023043
500,596,0.4228,-16.2000,6.9703,38.3000,16.7785,-0.385019,8.760153,-0.016131
600,610,0.4066,-15.1000,6.2772,32.8000,16.3902,-0.229180,5.916045,-0.020235
700,587,0.4583,-16.8000,7.1939,34.8000,17.0545,-0.115094,4.063570,-0.018359
800,567,0.4991,-16.8000,8.5483,37.8000,17.6349,-0.086712,3.484213,-0.015380
900,584,0.4914,-17.8000,8.1690,37.3000,17.1062,0.163649,7.285842,-0.015864
1000,550,0.5636,-16.3000,10.8640,34.8000,18.1745,-0.005428,4.264262,-0.016758
1100,577,0.5165,-16.4000,10.0288,36.3000,17.3310,-0.294682,3.184246,-0.014072
1200,556,0.5360,-17.0000,10.5842,35.8000,17.9856,-0.299841,3.570612,-0.011048
1300,587,0.4923,-9.6000,9.7707,42.3000,17.0511,0.091245,12.376980,-0.013420
1400,585,0.5026,-9.6000,9.5855,38.8000,17.0855,-0.120012,7.424864,-0.013506
1500,555,0.5550,-8.6000,11.5272,37.8000,18.0324,0.046470,5.094842,-0.013666
1600,560,0.5411,-15.6000,10.6893,37.3000,17.8393,-0.034035,7.528734,-0.012527
1700,575,0.5009,-14.3000,9.4904,37.8000,17.4000,-0.143299,3.262719,-0.013179
1800,572,0.5175,-14.5000,9.9538,39.3000,17.4825,-0.094172,5.813650,-0.013491
1900,546,0.5806,-14.1000,11.9350,38.8000,18.3168,-0.088694,9.542742,-0.011876
2000,583,0.5129,-17.5000,9.9389,37.8000,17.1441,-0.093345,6.226096,-0.011855
2100,549,0.5610,-15.3000,11.4667,38.3000,18.1967,0.097370,6.960565,-0.011387
2200,568,0.5317,-15.8000,10.5863,38.3000,17.6285,-0.213696,9.831638,-0.010456
2300,567,0.5344,-17.5000,10.9111,38.3000,17.6367,0.129402,3.975503,-0.009873
2400,554,0.5578,-8.6000,11.7922,36.3000,18.0523,0.050916,5.784159,-0.010953
2500,561,0.5490,-13.1000,11.2927,38.8000,17.8378,-0.084206,4.023805,-0.010724
2600,548,0.5821,-18.2000,12.4682,37.8000,18.2226,0.014310,3.425621,-0.011191
2700,530,0.6038,-9.6000,13.4375,40.3000,18.8717,-0.197640,6.560836,-0.010979
2800,544,0.5699,-17.2000,12.2831,37.3000,18.3989,-0.035411,4.412584,-0.011939
2900,537,0.5903,-15.8000,12.9248,44.3000,18.5847,0.039169,4.478382,-0.011004
3000,560,0.5554,-16.0000,11.8075,36.8000,17.8589,-0.001147,7.241467,-0.011376
3100,557,0.5512,-13.9000,11.6786,37.8000,17.9569,0.057503,2.919951,-0.012563
3200,571,0.5219,-14.8000,10.7606,41.3000,17.5394,0.062134,4.622621,-0.011910
3300,562,0.5320,-8.6000,11.4651,40.8000,17.7918,-0.127772,6.675802,-0.012064
3400,549,0.5628,-11.3000,12.1206,37.3000,18.1967,0.178595,2.785790,-0.012988
3500,553,0.5479,-13.3000,11.3282,43.8000,18.0796,0.098078,2.797823,-0.013331
3600,559,0.5474,-9.6000,11.2367,36.3000,17.9034,-0.206949,1.219168,-0.014365
3700,537,0.5903,-14.9000,12.7289,40.3000,18.6108,0.128995,2.722187,-0.013026
3800,534,0.6030,-12.7000,13.3247,39.3000,18.7566,-0.053784,1.602985,-0.013478
3900,548,0.5693,-9.6000,12.3695,38.8000,18.2080,0.120635,5.479688,-0.011356
4000,550,0.5782,-8.6000,12.9955,41.3000,18.2182,0.183059,7.278488,-0.011155
4100,544,0.5809,-14.4000,13.1704,38.3000,18.3824,-0.296880,6.390499,-0.010193
4200,535,0.6000,-9.4000,13.8379,37.3000,18.6804,-0.213480,0.938315,-0.010600
4300,533,0.6173,-9.4000,14.8668,39.3000,18.7767,-0.253931,1.568137,-0.010757
4400,549,0.5811,-13.7000,13.1818,38.8000,18.1749,-0.207102,5.112419,-0.010394
4500,548,0.5730,-8.6000,13.4825,43.8000,18.2847,0.063417,6.147808,-0.008924
4600,544,0.5790,-15.8000,13.3577,40.3000,18.3860,0.138233,12.245083,-0.009627
4700,560,0.5518,-9.6000,12.3877,41.8000,17.8268,-0.183850,1.636144,-0.010662
4800,567,0.5414,-14.2000,12.1661,40.8000,17.6596,0.028665,4.412462,-0.008644
4900,545,0.5743,-13.2000,13.6105,41.8000,18.3321,-0.260301,5.776464,-0.010449
