Bob Training On size: w=10, h=10, c=4
batch,num_episodes,win_rate,min_score,avg_score,max_score,avg_length,actor_loss,value_loss,entropy_loss
0,2,0.0000,-30.7000,-28.9500,-27.2000,50.0000,1.190964,7.727269,-0.044630
100,280,0.6571,-45.5000,-8.7268,19.2000,35.7107,0.232579,10.421438,-0.034478
200,416,0.8438,-45.0000,3.7834,19.2000,24.0385,-0.095193,8.731673,-0.034485
300,395,0.8354,-44.7000,3.2765,18.8000,25.2658,-0.433420,7.458970,-0.027921
400,1134,0.9727,-45.0000,16.0251,19.6000,8.8351,-0.100253,15.752995,-0.007072
500,1835,0.9864,-45.7000,18.2011,19.6000,5.4485,-0.338462,11.040336,-0.009520
600,2097,0.9957,-43.5000,18.8771,19.6000,4.7701,-0.070644,16.032930,-0.002471
700,2092,0.9962,-44.0000,18.8837,19.6000,4.7806,0.053397,16.722904,-0.001119
800,2017,0.9950,-46.7000,18.7455,19.6000,4.9455,-0.341595,14.719148,-0.004768
900,2008,0.9975,-39.9000,18.8381,19.6000,4.9910,0.024578,15.188052,-0.001423
1000,1808,0.9900,-44.9000,18.2744,19.8000,5.5210,-0.469529,14.851250,-0.001796
1100,1981,0.9929,-42.7000,18.6380,19.6000,5.0570,0.004645,15.952219,-0.000337
1200,2058,0.9966,-41.1000,18.8511,19.6000,4.8591,-0.049566,14.272910,-0.001663
1300,1767,0.9898,-44.9000,18.1697,19.8000,5.6503,-0.075308,13.194908,-0.001616
1400,1823,0.9967,-42.2000,18.5170,19.8000,5.4942,-0.003654,14.830606,-0.000241
1500,2024,0.9956,-39.8000,18.7824,19.6000,4.9422,0.007460,13.138489,-0.002006
1600,2031,0.9961,-44.7000,18.7552,19.8000,4.9227,-0.016689,14.207012,-0.000890
1700,2006,0.9970,-43.7000,18.7633,19.6000,4.9850,-0.015105,15.143308,-0.000214
1800,2122,0.9976,-42.2000,18.9861,19.8000,4.7111,-0.000492,14.990605,-0.000248
1900,2197,1.0000,-5.8000,19.1496,19.8000,4.5498,0.003630,14.197055,-0.000218
2000,2168,0.9972,-44.2000,19.0276,19.8000,4.6153,0.046347,14.849155,-0.000966
2100,2190,0.9982,-41.9000,19.0874,19.6000,4.5667,0.003462,14.332597,-0.000519
2200,2214,0.9986,-44.4000,19.1249,19.6000,4.5158,0.002037,14.276254,-0.000458
2300,2251,1.0000,-1.5000,19.2044,19.6000,4.4425,-0.001090,14.205533,-0.000175
2400,2208,0.9982,-44.2000,19.1066,19.6000,4.5294,-0.047494,14.035823,-0.001342
2500,2243,0.9996,-37.9000,19.1934,19.6000,4.4592,0.000387,15.070674,-0.000033
2600,2202,0.9986,-47.4000,19.1158,19.6000,4.5418,-0.000690,15.092363,-0.000720
2700,2190,0.9986,-37.7000,19.1061,19.6000,4.5621,-0.004193,13.818918,-0.000142
2800,2148,0.9995,-35.7000,19.0740,19.8000,4.6592,0.000178,14.799363,-0.000026
2900,2029,0.9966,-42.2000,18.8541,19.6000,4.9290,-0.030324,14.149136,-0.000252
3000,2141,0.9986,-46.6000,19.0450,19.8000,4.6707,-0.002884,13.769463,-0.000280
3100,2157,0.9991,-35.0000,19.1220,19.8000,4.6356,0.000124,14.452619,-0.000019
3200,2170,0.9977,-42.7000,19.0730,19.6000,4.6078,0.000021,14.236530,-0.000006
3300,2131,0.9981,-40.2000,19.0376,19.6000,4.6926,0.000953,13.935895,-0.000095
3400,2133,0.9977,-44.2000,19.0076,19.6000,4.6892,0.000006,14.227878,-0.000014
3500,2140,0.9986,-46.2000,19.0612,19.8000,4.6715,0.040272,12.652558,-0.000193
3600,2011,0.9965,-47.2000,18.8148,19.6000,4.9731,-0.000607,12.753529,-0.000366
3700,2078,0.9995,-30.3000,18.9981,19.6000,4.8133,0.025868,12.504302,-0.000422
