Bob Training On size: w=8, h=8, c=4
batch,num_episodes,win_rate,min_score,avg_score,max_score,avg_length,actor_loss,value_loss,entropy_loss
0,3,0.3333,-15.0000,-3.3333,20.0000,29.6667,0.533732,4.400062,-0.043528
100,350,0.2629,-15.0000,-7.8143,20.0000,28.5686,-0.040052,2.798168,-0.043696
200,356,0.3202,-15.0000,-6.1096,20.0000,28.1180,0.069618,3.612551,-0.043683
300,352,0.3097,-15.0000,-7.0170,20.0000,28.3523,0.114603,1.797314,-0.043984
400,346,0.2630,-15.0000,-7.6590,20.0000,28.9595,0.130066,1.157203,-0.040692
500,342,0.2602,-15.0000,-7.9971,20.0000,29.1988,-0.969225,0.465478,-0.040619
600,350,0.2771,-15.0000,-7.1857,20.0000,28.6086,-0.290765,0.239038,-0.040798
700,351,0.3134,-15.0000,-6.2536,20.0000,28.4103,-0.415933,4.490306,-0.040892
800,346,0.2688,-15.0000,-7.2399,20.0000,28.9653,0.722654,0.102706,-0.041505
900,348,0.2730,-15.0000,-7.5575,20.0000,28.6925,0.998728,0.222163,-0.039795
1000,353,0.3088,-15.0000,-6.4873,20.0000,28.3314,-0.914436,0.240945,-0.040788
1100,350,0.2943,-15.0000,-7.1000,20.0000,28.5600,-0.928446,0.217984,-0.040167
1200,342,0.2281,-15.0000,-8.6842,20.0000,29.2602,-0.285706,0.203606,-0.039690
1300,346,0.2514,-15.0000,-8.2370,20.0000,28.8873,0.623828,0.361477,-0.041032
1400,355,0.3324,-15.0000,-5.4366,20.0000,28.1690,-0.796763,0.187380,-0.040121
1500,353,0.3116,-15.0000,-6.5581,20.0000,28.3258,0.148030,0.495710,-0.042782
1600,356,0.3202,-15.0000,-6.1096,20.0000,28.0871,-1.089328,0.244336,-0.040212
1700,348,0.2586,-15.0000,-7.7155,20.0000,28.7414,-0.206199,0.981131,-0.041226
1800,355,0.2930,-15.0000,-7.1972,20.0000,28.1887,-0.279534,1.389850,-0.042385
1900,351,0.2707,-15.0000,-7.7066,20.0000,28.5185,-0.023263,0.083080,-0.040002
