Bob Training On size: w=5, h=5, c=4
batch,num_episodes,win_rate,min_score,avg_score,max_score,avg_length,actor_loss,value_loss,entropy_loss
100,1735,0.1487,-10.0000,-7.0259,10.0000,11.5280,0.019840,1.795449,-0.016898
200,1719,0.1175,-10.0000,-7.6498,10.0000,11.6347,0.007581,0.004684,-0.016311
300,1723,0.1341,-10.0000,-7.3186,10.0000,11.6053,-0.002731,1.356440,-0.017014
400,1729,0.1440,-10.0000,-7.1197,10.0000,11.5709,0.006124,2.168935,-0.016046
500,1717,0.1241,-10.0000,-7.5189,10.0000,11.6447,0.013977,1.351881,-0.015925
600,1741,0.1947,-10.0000,-6.1057,10.0000,11.4871,-0.004309,3.023507,-0.006970
700,1780,0.2691,-10.0000,-4.6180,10.0000,11.2354,-0.008566,2.025523,-0.005429
800,1785,0.2650,-10.0000,-4.7003,10.0000,11.2078,0.000373,0.975762,-0.006248
900,1783,0.2602,-10.0000,-4.7953,10.0000,11.2142,0.003875,4.447403,-0.006443
1000,1788,0.2757,-10.0000,-4.4855,10.0000,11.1890,-0.014984,2.186204,-0.004633
1100,1788,0.2713,-10.0000,-4.5749,10.0000,11.1846,-0.008506,4.332063,-0.004988
1200,1808,0.2954,-10.0000,-4.0929,10.0000,11.0597,-0.004328,3.617305,-0.004806
1300,1806,0.2890,-10.0000,-4.2193,10.0000,11.0748,-0.017387,3.190733,-0.003385
1400,1781,0.2645,-10.0000,-4.7108,10.0000,11.2302,-0.007741,4.682739,-0.003275
1500,1791,0.2848,-10.0000,-4.3049,10.0000,11.1653,-0.007975,1.510047,-0.002874
