Bob Training On size: w=5, h=5, c=3
batch,num_episodes,win_rate,min_score,avg_score,max_score,avg_length,actor_loss,value_loss,entropy_loss
0,15,0.8000,-15.0000,7.0000,20.0000,6.4667,0.270684,9.273354,-0.034677
100,1128,0.6489,-15.0000,4.5612,20.0000,8.8635,-0.172840,8.425379,-0.031065
200,1162,0.6618,-15.0000,4.7935,20.0000,8.6059,-0.243902,8.514087,-0.031544
300,1188,0.6742,-15.0000,5.2399,20.0000,8.4141,-0.295986,7.325680,-0.030958
400,1258,0.7083,-15.0000,7.1900,20.0000,7.9563,-0.267573,7.138261,-0.029096
500,1397,0.8046,-15.0000,10.6263,20.0000,7.1539,-0.276406,7.913741,-0.028297
600,1595,0.8602,-15.0000,13.2915,20.0000,6.2721,0.153435,9.247656,-0.022004
700,1994,0.9173,-15.0000,15.6520,20.0000,5.0150,-0.286336,3.101352,-0.024476
800,2222,0.9527,-15.0000,17.1377,20.0000,4.4995,-0.142645,4.344211,-0.019810
900,2572,0.9716,-15.0000,18.0793,20.0000,3.8884,-0.686916,1.331339,-0.017713
1000,3323,0.9937,-15.0000,19.3229,20.0000,3.0096,0.007479,0.589106,-0.004574
1100,3877,0.9982,-15.0000,19.6196,20.0000,2.5798,-0.063171,0.109484,-0.003389
1200,3882,0.9992,-15.0000,19.7295,20.0000,2.5760,-0.058541,0.318764,-0.003283
1300,3920,0.9992,-15.0000,19.7092,20.0000,2.5508,0.076445,0.062825,-0.003215
1400,3915,0.9985,-15.0000,19.6513,20.0000,2.5543,-0.021109,0.441649,-0.003276
1500,3800,0.9947,-15.0000,19.5474,20.0000,2.6316,0.270049,0.437817,-0.002920
1600,3925,0.9997,-15.0000,19.7618,20.0000,2.5480,0.071261,0.101149,-0.003152
1700,3936,0.9995,-15.0000,19.7269,20.0000,2.5407,-0.011327,0.489162,-0.003045
1800,3945,1.0000,5.0000,19.6882,20.0000,2.5349,-0.003922,0.321815,-0.002949
1900,3955,0.9997,-15.0000,19.6764,20.0000,2.5284,0.022044,0.051769,-0.002869
2000,3941,0.9992,-15.0000,19.6232,20.0000,2.5369,-0.012047,0.180460,-0.002658
2100,3962,1.0000,5.0000,19.7312,20.0000,2.5245,-0.058655,0.369914,-0.002805
2200,3936,0.9995,-15.0000,19.6926,20.0000,2.5404,-0.021851,0.068468,-0.002866
2300,3974,1.0000,5.0000,19.7245,20.0000,2.5161,-0.153706,0.062633,-0.002823
2400,3954,1.0000,5.0000,19.7534,20.0000,2.5291,0.084462,0.060179,-0.003167
2500,4477,0.9998,-15.0000,19.7007,20.0000,2.2341,-0.077445,0.127980,-0.000998
2600,5036,0.9998,-15.0000,19.7041,20.0000,1.9855,0.005143,0.143251,-0.000653
2600,3459,0.9884,-15.0000,18.8971,20.0000,2.8907,-0.017963,1.825194,-0.008489
2700,4369,0.9970,-15.0000,19.4427,20.0000,2.2889,0.111586,0.054660,-0.002884
2800,4895,0.9996,-15.0000,19.6456,20.0000,2.0427,-0.186162,0.227820,-0.002811
2900,5001,0.9998,-15.0000,19.5851,20.0000,2.0000,0.026870,0.155051,-0.002336
3000,5030,0.9996,-15.0000,19.6133,20.0000,1.9879,-0.106223,0.211707,-0.002487
3100,5042,1.0000,5.0000,19.6132,20.0000,1.9835,0.040210,0.283785,-0.002595
3200,5036,0.9998,-15.0000,19.6178,20.0000,1.9857,-0.117904,0.165711,-0.001866
3300,5050,1.0000,5.0000,19.6644,20.0000,1.9802,-0.075141,0.462374,-0.002364
3400,5037,1.0000,5.0000,19.6307,20.0000,1.9853,-0.006767,0.435672,-0.002333
3500,5040,1.0000,5.0000,19.5863,20.0000,1.9841,-0.030447,0.067148,-0.002240
3600,5059,1.0000,5.0000,19.5968,20.0000,1.9767,-0.036614,0.066299,-0.001923
