Bob Training On size: w=6, h=6, c=4
batch,num_episodes,win_rate,min_score,avg_score,max_score,avg_length,actor_loss,value_loss,entropy_loss
0,5,0.0000,-15.0000,-15.0000,-15.0000,18.0000,1.077647,6.056373,-0.036033
100,571,0.0823,-15.0000,-12.5131,20.0000,17.5061,-0.698841,0.155920,-0.035337
200,574,0.0889,-15.0000,-12.5436,20.0000,17.4268,0.121935,2.365245,-0.035223
300,579,0.0967,-15.0000,-12.1589,20.0000,17.2884,0.089155,0.978601,-0.035382
400,574,0.0906,-15.0000,-12.4826,20.0000,17.4164,0.005117,3.542350,-0.036187
500,574,0.0889,-15.0000,-12.3606,20.0000,17.4146,0.022612,1.289475,-0.035340
600,578,0.0969,-15.0000,-12.2837,20.0000,17.2993,0.595042,0.044563,-0.035182
700,577,0.1057,-15.0000,-11.9497,20.0000,17.3432,0.227660,0.720118,-0.036099
800,579,0.1002,-15.0000,-12.1157,20.0000,17.2642,0.182275,2.185192,-0.035734
900,575,0.0922,-15.0000,-12.2957,20.0000,17.3722,0.211447,4.342487,-0.035828
1000,572,0.0787,-15.0000,-12.6399,20.0000,17.4843,-0.875177,0.015521,-0.034269
1100,570,0.0702,-15.0000,-13.0439,20.0000,17.5526,0.515229,0.025528,-0.035172
1200,574,0.0941,-15.0000,-12.2038,20.0000,17.4216,-0.108889,2.672790,-0.035656
1300,574,0.0906,-15.0000,-12.6132,20.0000,17.4321,0.112277,3.510046,-0.036589
1400,577,0.0901,-15.0000,-12.2617,20.0000,17.3206,-0.891585,0.052018,-0.035261
1500,578,0.0969,-15.0000,-12.3097,20.0000,17.2976,0.032463,0.086473,-0.034769
1600,575,0.0835,-15.0000,-12.3391,20.0000,17.3930,0.126121,1.022930,-0.034854
1700,577,0.1005,-15.0000,-12.1577,20.0000,17.3414,0.251290,0.871931,-0.035765
1800,575,0.0800,-15.0000,-12.6174,20.0000,17.3757,0.184455,1.131647,-0.033638
1900,574,0.0749,-15.0000,-12.7962,20.0000,17.4477,0.032667,2.054831,-0.034386
2000,577,0.0919,-15.0000,-12.1490,20.0000,17.3016,0.091324,2.331501,-0.034405
2100,580,0.0983,-15.0000,-12.1293,20.0000,17.2672,0.286309,6.255820,-0.036836
2200,582,0.1117,-15.0000,-11.6581,20.0000,17.1787,0.174349,1.934600,-0.034051
2300,579,0.0984,-15.0000,-12.2798,20.0000,17.2556,0.106233,0.934633,-0.033397
2400,581,0.1015,-15.0000,-12.1170,20.0000,17.2324,0.969244,0.062383,-0.032328
2500,580,0.0948,-15.0000,-12.3017,20.0000,17.2414,0.184052,0.009934,-0.032470
2600,581,0.0998,-15.0000,-12.0224,20.0000,17.2031,0.103026,0.617450,-0.034241
2700,587,0.1278,-15.0000,-10.9881,20.0000,17.0221,0.307127,2.909189,-0.034127
2800,581,0.1015,-15.0000,-12.0396,20.0000,17.2065,-0.923345,0.021539,-0.032393
2900,581,0.1033,-15.0000,-11.8503,20.0000,17.2272,0.533401,0.015406,-0.033040
3000,585,0.1179,-15.0000,-11.4872,20.0000,17.1043,0.375932,1.853317,-0.033830
3100,581,0.1033,-15.0000,-11.9019,20.0000,17.2014,-0.631268,0.019941,-0.033227
3200,589,0.1256,-15.0000,-11.2139,20.0000,16.9915,-0.784448,0.069611,-0.031951
3300,581,0.0981,-15.0000,-11.9277,20.0000,17.1979,-0.434384,0.008808,-0.032065
3400,587,0.1141,-15.0000,-11.4651,20.0000,17.0273,0.117781,2.052720,-0.031082
3500,590,0.1153,-15.0000,-11.4237,20.0000,16.9559,0.192479,0.857097,-0.032357
3600,589,0.1222,-15.0000,-11.1800,20.0000,16.9711,0.681794,0.021764,-0.030787
3700,590,0.1186,-15.0000,-11.3814,20.0000,16.9593,0.236232,1.547109,-0.031007
3800,600,0.1467,-15.0000,-10.4667,20.0000,16.6650,-0.136066,0.012382,-0.030014
3900,592,0.1250,-15.0000,-11.1064,20.0000,16.8919,0.131907,2.192658,-0.030606
4000,595,0.1328,-15.0000,-10.9328,20.0000,16.8050,-0.262338,0.014347,-0.029882
4100,593,0.1248,-15.0000,-11.1130,20.0000,16.8735,0.742928,0.027578,-0.028835
4200,600,0.1583,-15.0000,-10.0083,20.0000,16.6633,0.219124,0.712436,-0.028357
4300,610,0.1820,-15.0000,-9.2705,20.0000,16.3902,-1.020993,0.050620,-0.027300
4400,606,0.1667,-15.0000,-9.8845,20.0000,16.5132,0.220988,2.905331,-0.028803
4500,599,0.1452,-15.0000,-10.1920,20.0000,16.6828,0.941855,0.099730,-0.027424
4600,612,0.1748,-15.0000,-9.2974,20.0000,16.3480,0.326739,6.021545,-0.026674
4700,602,0.1611,-15.0000,-9.7841,20.0000,16.5914,0.215858,2.604370,-0.025759
4800,609,0.1741,-15.0000,-9.4499,20.0000,16.4335,0.321762,3.394602,-0.028345
4900,595,0.1311,-15.0000,-10.8403,20.0000,16.8034,0.491975,0.015667,-0.027283
5000,6,0.1667,-15.0000,-9.1667,20.0000,16.3333,0.138642,1.630476,-0.027986
5100,608,0.1678,-15.0000,-9.4984,20.0000,16.4441,-0.128389,1.393828,-0.026620
5200,626,0.2013,-15.0000,-8.5064,20.0000,15.9649,0.222549,3.550272,-0.027263
5300,628,0.2086,-15.0000,-8.2245,20.0000,15.9156,0.250277,2.185946,-0.025794
5400,635,0.2268,-15.0000,-7.6299,20.0000,15.7638,0.050979,1.250880,-0.025508
5500,627,0.2185,-15.0000,-7.8788,20.0000,15.9458,0.204595,2.380406,-0.026847
5600,625,0.2032,-15.0000,-8.3440,20.0000,15.9872,0.139081,1.297280,-0.025831
5700,637,0.2323,-15.0000,-7.3155,20.0000,15.7111,-0.054050,1.297582,-0.026093
5800,626,0.1997,-15.0000,-8.3946,20.0000,15.9792,0.353164,3.046112,-0.021345
5900,624,0.2019,-15.0000,-8.3413,20.0000,16.0240,0.167581,1.371067,-0.026345
6000,628,0.2197,-15.0000,-7.7627,20.0000,15.9299,-0.164687,0.013708,-0.025013
6100,622,0.1961,-15.0000,-8.3762,20.0000,16.0579,0.145058,4.876650,-0.027380
6200,636,0.2075,-15.0000,-7.9953,20.0000,15.7406,-0.027101,0.948180,-0.022267
6300,645,0.2357,-15.0000,-7.1240,20.0000,15.5070,-0.019643,1.847360,-0.021680
6400,648,0.2685,-15.0000,-5.8565,20.0000,15.4059,0.064610,1.361853,-0.022546
6500,685,0.3270,-15.0000,-3.9270,20.0000,14.6088,0.106122,4.545328,-0.020668
6600,693,0.3521,-15.0000,-3.0447,20.0000,14.4401,-0.102480,1.725908,-0.019899
6700,714,0.3739,-15.0000,-2.3109,20.0000,13.9860,0.177066,2.425842,-0.020456
6800,711,0.3699,-15.0000,-2.3910,20.0000,14.0675,-0.070822,7.246881,-0.019132
6900,720,0.3681,-15.0000,-2.6389,20.0000,13.8861,-0.085361,1.295794,-0.019444
7000,753,0.4104,-15.0000,-1.0956,20.0000,13.2908,-0.007060,3.150412,-0.018273
7100,775,0.4516,-15.0000,0.4387,20.0000,12.8968,-0.004498,2.787856,-0.016149
7200,811,0.4858,-15.0000,1.6708,20.0000,12.3416,0.031993,5.576476,-0.014047
7300,822,0.5000,-15.0000,2.1168,20.0000,12.1667,-0.108393,3.044119,-0.013945
7400,849,0.5253,-15.0000,3.0153,20.0000,11.7762,-0.035183,4.857480,-0.014515
7500,865,0.5329,-15.0000,3.3410,20.0000,11.5665,-0.140669,11.605635,-0.016507
7600,870,0.5437,-15.0000,3.7011,20.0000,11.4874,0.321812,7.505539,-0.012353
7700,885,0.5605,-15.0000,4.2599,20.0000,11.2949,0.003663,8.863171,-0.015495
7800,995,0.6482,-15.0000,7.2362,20.0000,10.0533,-0.048690,6.784698,-0.012672
7900,1106,0.7188,-15.0000,9.7649,20.0000,9.0353,-0.202326,8.748800,-0.011710
8000,1344,0.8140,-15.0000,13.1771,20.0000,7.4442,-0.032300,4.575786,-0.010395
8100,1363,0.8283,-15.0000,13.8151,20.0000,7.3434,-0.136704,5.116431,-0.010474
8200,1458,0.8498,-15.0000,14.5782,20.0000,6.8525,-0.090540,4.480976,-0.008534
8300,1585,0.8858,-15.0000,15.8707,20.0000,6.3155,-0.136036,4.238063,-0.008721
8400,1531,0.8785,-15.0000,15.4931,20.0000,6.5297,-0.223412,3.770454,-0.008366
8500,1678,0.9118,-15.0000,16.7074,20.0000,5.9517,-0.248453,4.452026,-0.007882
8600,1644,0.9094,-15.0000,16.6180,20.0000,6.0906,-0.152327,3.222718,-0.007377
8700,1782,0.9343,-15.0000,17.4327,20.0000,5.6128,-0.040055,3.419568,-0.007752
8800,1809,0.9397,-15.0000,17.7336,20.0000,5.5229,-0.075255,5.615404,-0.007496
8900,1830,0.9426,-15.0000,17.7869,20.0000,5.4694,-0.084090,1.730589,-0.006311
9000,1805,0.9319,-15.0000,17.4488,20.0000,5.5385,-0.179017,3.601428,-0.007003
9100,1909,0.9576,-15.0000,18.3578,20.0000,5.2404,-0.246641,0.512047,-0.005552
9200,1916,0.9624,-15.0000,18.4656,20.0000,5.2176,-0.205803,0.404204,-0.006337
9300,1932,0.9545,-15.0000,18.2505,20.0000,5.1760,0.088629,2.662481,-0.005805
9400,1866,0.9437,-15.0000,17.7653,20.0000,5.3591,-0.118659,1.739530,-0.007236
9500,1899,0.9494,-15.0000,18.0885,20.0000,5.2675,-0.013412,1.601537,-0.005858
9600,1873,0.9466,-15.0000,17.9231,20.0000,5.3369,-0.063203,2.580411,-0.006270
9700,1837,0.9445,-15.0000,17.8035,20.0000,5.4453,-0.193708,3.739247,-0.006052
9800,1909,0.9539,-15.0000,18.1823,20.0000,5.2342,0.078171,3.228987,-0.005256
9900,1945,0.9635,-15.0000,18.5219,20.0000,5.1460,0.068914,2.781838,-0.005418
10100,1939,0.9603,-15.0000,18.3703,20.0000,5.1568,-0.012075,1.650430,-0.005168
10200,2005,0.9711,-15.0000,18.8304,20.0000,4.9870,0.001557,1.783245,-0.004796
10300,2041,0.9691,-15.0000,18.7065,20.0000,4.8996,0.083474,3.595497,-0.004968
10400,1992,0.9649,-15.0000,18.5894,20.0000,5.0196,-0.037064,0.350173,-0.004556
10500,1967,0.9639,-15.0000,18.5384,20.0000,5.0849,-0.167701,0.643279,-0.005642
10600,1989,0.9643,-15.0000,18.5621,20.0000,5.0277,0.011713,2.550427,-0.005014
10700,2018,0.9688,-15.0000,18.7810,20.0000,4.9544,0.011128,1.672985,-0.005128
10800,2093,0.9790,-15.0000,19.0420,20.0000,4.7788,0.030097,2.281696,-0.004324
10900,1955,0.9596,-15.0000,18.3708,20.0000,5.1141,-0.164951,2.273582,-0.005110
11000,1990,0.9618,-15.0000,18.4447,20.0000,5.0246,-0.040848,1.193217,-0.004790
11100,1986,0.9622,-15.0000,18.5121,20.0000,5.0352,-0.120734,3.288209,-0.005954
11200,1992,0.9649,-15.0000,18.5818,20.0000,5.0211,-0.023272,1.783168,-0.005488
11300,2052,0.9756,-15.0000,18.9279,20.0000,4.8743,0.015469,1.339733,-0.005202
11400,2015,0.9663,-15.0000,18.6253,20.0000,4.9623,-0.093425,1.347104,-0.004854
11500,1943,0.9599,-15.0000,18.3170,20.0000,5.1457,-0.023752,0.653694,-0.005564
11600,1930,0.9606,-15.0000,18.4585,20.0000,5.1819,-0.008938,2.098436,-0.005750
11700,1982,0.9672,-15.0000,18.6554,20.0000,5.0454,-0.002778,1.540666,-0.006223
11800,2004,0.9686,-15.0000,18.7500,20.0000,4.9895,-0.093223,0.885187,-0.005211
11900,2007,0.9656,-15.0000,18.6099,20.0000,4.9831,-0.110534,1.864328,-0.005580
12000,1967,0.9624,-15.0000,18.5689,20.0000,5.0844,-0.049188,0.214327,-0.006040
12100,1923,0.9542,-15.0000,18.2033,20.0000,5.1966,-0.201724,1.754000,-0.006485
12200,2019,0.9693,-15.0000,18.7766,20.0000,4.9549,-0.000796,0.192786,-0.006018
12300,2018,0.9698,-15.0000,18.7116,20.0000,4.9574,-0.004910,1.068467,-0.006148
12400,2029,0.9694,-15.0000,18.6718,20.0000,4.9226,0.060193,1.887318,-0.005900
12500,2019,0.9708,-15.0000,18.8212,20.0000,4.9589,0.048840,1.675538,-0.005941
12600,1846,0.9464,-15.0000,17.9280,20.0000,5.4133,0.057379,1.498755,-0.006689
12700,2038,0.9735,-15.0000,18.8665,20.0000,4.9102,0.086163,1.415402,-0.007779
12800,2072,0.9783,-15.0000,19.1023,20.0000,4.8243,0.085903,1.766258,-0.005418
12900,2055,0.9732,-15.0000,18.8808,20.0000,4.8672,-0.055623,0.579440,-0.005327
13000,2057,0.9757,-15.0000,18.9888,20.0000,4.8624,-0.125195,0.242957,-0.005068
13100,2040,0.9725,-15.0000,18.8922,20.0000,4.9020,0.006444,2.244528,-0.005282
13200,2004,0.9671,-15.0000,18.6602,20.0000,4.9885,-0.029864,3.757427,-0.005888
