batch,num_episodes,win_rate,min_score,avg_score,max_score,avg_length,actor_loss,value_loss,entropy_loss
0,2,0.5000,-23.6000,-6.0000,11.6000,21.0000,0.149394,8.347863,-0.041998
100,226,0.2699,-29.2000,-13.3721,18.0000,22.1283,0.590974,0.616084,-0.039225
200,224,0.2768,-28.8000,-13.4509,18.2000,22.3214,-0.420182,0.563184,-0.038418
300,226,0.2611,-29.0000,-13.6942,19.4000,22.0575,-0.531464,0.931244,-0.036992
400,232,0.2845,-28.6000,-12.7091,18.7000,21.6293,0.555479,8.868470,-0.039662
500,224,0.2768,-29.6000,-13.6250,18.1000,22.2946,-0.253536,0.381535,-0.036566
600,233,0.3262,-29.6000,-11.2983,19.2000,21.5021,-0.013160,12.687775,-0.039471
700,225,0.2444,-30.3000,-14.2560,19.0000,22.1422,-0.204643,0.112643,-0.035118
800,233,0.3348,-29.8000,-10.9695,19.4000,21.4807,0.428670,0.524358,-0.036405
900,226,0.2788,-29.8000,-13.1885,19.2000,22.1372,-0.271100,9.482174,-0.038207
1000,222,0.2342,-28.1000,-14.8405,18.2000,22.5180,-0.183185,7.779764,-0.039630
1100,233,0.3476,-28.6000,-10.4142,18.8000,21.4549,-0.207852,7.812217,-0.037002
1200,227,0.2599,-28.8000,-13.6678,18.8000,22.0793,-0.051117,1.978911,-0.036363
1300,231,0.3247,-29.6000,-11.4502,19.4000,21.6017,-0.258098,0.769687,-0.036374
1400,226,0.2920,-29.1000,-12.6920,18.1000,22.1106,0.475451,0.059786,-0.036328
1500,224,0.2634,-30.3000,-13.9045,19.2000,22.3438,0.320062,3.441296,-0.037549
1600,223,0.2735,-29.0000,-13.6390,18.1000,22.4484,0.115257,0.783297,-0.037255
1700,231,0.3117,-28.6000,-11.5502,18.6000,21.6190,-0.416266,1.379128,-0.037284
1800,231,0.2944,-29.6000,-12.3225,18.4000,21.6753,-0.677271,1.042100,-0.036353
1900,225,0.2622,-28.8000,-13.7044,18.1000,22.2133,-0.505202,0.212921,-0.037265
2000,229,0.2882,-28.3000,-12.9004,18.4000,21.8079,0.227614,10.035103,-0.042113
2100,227,0.3216,-28.8000,-11.6595,17.8000,22.0573,0.136760,11.168905,-0.041576
2200,228,0.2851,-28.7000,-13.0667,18.1000,21.9342,-0.594813,1.047091,-0.037418
