Bob Training On size: w=7, h=7, c=4
batch,num_episodes,win_rate,min_score,avg_score,max_score,avg_length,actor_loss,value_loss,entropy_loss
0,4,0.2500,-24.6000,-12.6250,15.7000,21.5000,0.460699,8.957884,-0.040773
100,467,0.3191,-29.0000,-11.5887,18.8000,21.4197,-0.277701,8.185394,-0.033700
200,468,0.3226,-29.3000,-11.3652,18.8000,21.3547,-0.075946,7.263583,-0.036714
300,466,0.3004,-29.1000,-12.1622,19.6000,21.4871,0.024804,4.092127,-0.035388
400,493,0.4097,-29.1000,-7.9606,19.2000,20.2880,0.197313,7.629122,-0.029940
500,730,0.6918,-29.0000,4.4685,19.4000,13.6986,-0.189804,9.167107,-0.020478
600,1311,0.8940,-29.3000,14.0834,19.6000,7.6270,-0.068631,1.860284,-0.003847
700,1692,0.9385,-29.0000,16.4471,19.6000,5.9113,-0.062492,0.091306,-0.002628
800,1632,0.9295,-29.8000,16.0198,19.6000,6.1268,0.093296,4.498660,-0.003911
900,1548,0.9167,-29.5000,15.3505,19.8000,6.4574,0.245690,9.138982,-0.005226
1000,1505,0.9249,-29.3000,15.4241,19.8000,6.6425,-0.036164,7.339435,-0.005228
1100,1552,0.9220,-28.6000,15.5030,19.8000,6.4485,0.005300,3.191144,-0.003237
1200,1657,0.9421,-29.0000,16.4159,19.8000,6.0338,0.029144,3.512072,-0.004434
1300,1710,0.9596,-30.3000,17.1354,19.6000,5.8433,0.010786,3.569186,-0.003833
1400,1726,0.9525,-30.0000,16.9367,19.6000,5.7914,-0.005595,5.363750,-0.004778
1500,1686,0.9543,-30.0000,16.9293,19.8000,5.9389,0.096692,5.038394,-0.004175
1600,1636,0.9487,-29.6000,16.6949,19.8000,6.1131,0.269802,9.485732,-0.005767
1700,1797,0.9677,-28.8000,17.5475,19.8000,5.5632,-0.001748,3.861660,-0.003250
1800,1737,0.9568,-28.6000,17.1188,19.6000,5.7576,-0.022801,3.719501,-0.003712
1900,1790,0.9620,-30.0000,17.3441,19.8000,5.5804,0.008737,3.402729,-0.003454
2000,1713,0.9492,-30.3000,16.7681,19.8000,5.8441,0.142573,5.455575,-0.004083
2100,1791,0.9592,-29.2000,17.2363,19.8000,5.5835,-0.043311,3.736564,-0.003247
2200,1855,0.9633,-29.1000,17.5016,19.8000,5.3908,0.022693,1.243519,-0.001704
2300,1868,0.9684,-28.3000,17.7170,19.6000,5.3539,0.035986,0.242218,-0.001128
2400,1781,0.9551,-30.2000,17.0888,19.6000,5.6159,0.013887,2.678263,-0.002789
2500,1910,0.9681,-28.6000,17.7353,19.6000,5.2335,0.044728,2.662517,-0.002920
2600,1823,0.9622,-28.0000,17.4385,19.8000,5.4877,-0.028635,0.166833,-0.001168
2700,1878,0.9702,-29.1000,17.7935,19.6000,5.3248,0.006262,2.923330,-0.003252
2800,1804,0.9645,-27.8000,17.5238,19.8000,5.5427,0.043635,4.553319,-0.005313
2900,1808,0.9640,-28.3000,17.5131,19.6000,5.5299,-0.044426,4.456752,-0.004124
3000,1893,0.9736,-27.0000,17.9125,19.8000,5.2837,0.130687,6.127800,-0.005351
3100,1839,0.9625,-28.5000,17.4628,19.8000,5.4377,0.124192,0.625975,-0.002547
3200,1822,0.9599,-28.3000,17.3646,19.6000,5.4879,0.078314,1.387009,-0.002262
3300,1889,0.9714,-28.3000,17.7983,19.8000,5.2949,0.007882,4.828104,-0.003371
3400,1812,0.9597,-28.6000,17.3393,19.8000,5.5177,-0.043487,3.169780,-0.002842
3500,1781,0.9573,-27.8000,17.2446,19.8000,5.6143,-0.023134,0.952266,-0.001301
3600,1804,0.9595,-27.8000,17.3268,19.6000,5.5432,-0.016387,0.409193,-0.001038
3700,1823,0.9649,-29.3000,17.5104,19.8000,5.4871,-0.029343,2.493894,-0.002275
3800,1787,0.9597,-27.6000,17.3202,19.6000,5.5943,-0.132512,2.565849,-0.002606
3900,1759,0.9528,-29.5000,17.0271,19.8000,5.6833,0.089764,3.902007,-0.003619
4000,1814,0.9658,-29.0000,17.5670,19.6000,5.5132,-0.029126,0.581181,-0.002445
4100,1761,0.9557,-27.8000,17.1811,19.8000,5.6809,0.147877,5.302659,-0.004764
4200,1803,0.9601,-28.0000,17.3548,19.8000,5.5435,0.026400,1.962680,-0.003792
4300,1803,0.9590,-28.6000,17.2960,19.6000,5.5485,0.032007,2.760281,-0.003046
4400,1779,0.9522,-27.8000,17.0512,19.6000,5.6178,-0.008178,1.277051,-0.000620
4500,1780,0.9556,-28.0000,17.1809,19.6000,5.6191,-0.072927,3.345902,-0.002955
4600,1858,0.9618,-26.8000,17.4963,19.6000,5.3837,0.247249,1.997577,-0.001891
4700,1858,0.9634,-29.4000,17.5280,19.8000,5.3837,0.000332,0.175486,-0.000473
4800,1852,0.9627,-28.8000,17.4925,19.8000,5.3985,0.162735,1.188723,-0.001354
4900,1887,0.9719,-27.6000,17.8539,19.8000,5.2962,0.002328,3.496313,-0.003458
