Alice Training On size: w=6, h=6, c=4
batch,num_episodes,win_rate,min_score,avg_score,max_score,avg_length,actor_loss,value_loss,entropy_loss
100,1491,0.5412,-10.0000,0.8249,10.0000,13.4165,-0.011115,2.850743,-0.028622
200,1482,0.5418,-10.0000,0.8367,10.0000,13.4987,-0.010324,2.755766,-0.023018
300,1498,0.5280,-10.0000,0.5607,10.0000,13.3491,-0.014205,6.144113,-0.023424
400,1503,0.5389,-10.0000,0.7784,10.0000,13.3107,0.001842,2.875357,-0.026818
500,1492,0.5382,-10.0000,0.7641,10.0000,13.3961,0.002032,3.063598,-0.020222
600,1456,0.5646,-10.0000,1.2912,10.0000,13.7459,-0.013641,2.505859,-0.019100
700,1453,0.5643,-10.0000,1.2870,10.0000,13.7577,0.012457,3.075170,-0.021516
800,1491,0.5412,-10.0000,0.8249,10.0000,13.4111,0.008382,4.403517,-0.025747
900,1503,0.5303,-10.0000,0.6055,10.0000,13.3147,0.000555,3.834768,-0.023556
1000,1467,0.5453,-10.0000,0.9066,10.0000,13.6312,-0.009077,3.557141,-0.023443
1100,1503,0.5230,-10.0000,0.4591,10.0000,13.3034,-0.006894,5.286298,-0.027545
1200,1544,0.5026,-10.0000,0.0518,10.0000,12.9540,-0.024403,2.484692,-0.034778
1300,1566,0.4725,-10.0000,-0.5492,10.0000,12.7778,0.008041,3.049753,-0.037032
1400,1524,0.4987,-10.0000,-0.0262,10.0000,13.1214,0.006089,4.124806,-0.037020
1500,1555,0.4797,-10.0000,-0.4051,10.0000,12.8559,0.001642,6.340580,-0.038907
1600,1556,0.4756,-10.0000,-0.4884,10.0000,12.8541,-0.002616,3.812388,-0.037135
1700,1581,0.4592,-10.0000,-0.8159,10.0000,12.6534,0.011196,3.076662,-0.034048
1800,1530,0.5026,-10.0000,0.0523,10.0000,13.0719,-0.007209,2.733112,-0.031288
1900,1597,0.4546,-10.0000,-0.9080,10.0000,12.5254,-0.007213,2.892247,-0.036158
2000,1552,0.4955,-10.0000,-0.0902,10.0000,12.8879,-0.012794,4.021260,-0.033522
2100,1536,0.4844,-10.0000,-0.3125,10.0000,13.0189,-0.001748,4.065118,-0.033649
2200,1520,0.5158,-10.0000,0.3158,10.0000,13.1539,-0.015687,6.328630,-0.036709
2300,1531,0.4918,-10.0000,-0.1633,10.0000,13.0607,0.006226,2.193771,-0.035760
2400,1540,0.4890,-10.0000,-0.2208,10.0000,12.9857,0.002665,1.778059,-0.032564
2500,1530,0.4948,-10.0000,-0.1046,10.0000,13.0739,0.007248,6.640239,-0.029933
2600,1522,0.5092,-10.0000,0.1840,10.0000,13.1393,0.003776,3.101659,-0.028183
2700,1501,0.5270,-10.0000,0.5396,10.0000,13.3318,-0.016138,3.529554,-0.021900
2800,1477,0.5477,-10.0000,0.9546,10.0000,13.5342,0.013783,2.515395,-0.029248
2900,1512,0.5185,-10.0000,0.3704,10.0000,13.2348,0.006766,3.257363,-0.028380
3000,1529,0.5232,-10.0000,0.4644,10.0000,13.0759,-0.009134,5.346513,-0.031540
3100,1556,0.5019,-10.0000,0.0386,10.0000,12.8515,0.003286,2.860119,-0.028059
3200,1489,0.5339,-10.0000,0.6783,10.0000,13.4291,-0.003470,4.451779,-0.027130
3300,1537,0.5010,-10.0000,0.0195,10.0000,13.0085,0.008701,2.810597,-0.029047
3400,1522,0.5230,-10.0000,0.4599,10.0000,13.1485,-0.018486,3.781939,-0.027603
3500,1497,0.5351,-10.0000,0.7014,10.0000,13.3527,-0.005022,3.022401,-0.029496
3600,1530,0.5209,-10.0000,0.4183,10.0000,13.0765,0.009552,4.058073,-0.031931
3700,1535,0.4990,-10.0000,-0.0195,10.0000,13.0319,-0.001437,8.882180,-0.037472
3800,1527,0.5003,-10.0000,0.0065,10.0000,13.0969,0.004449,6.203850,-0.036863
3900,1542,0.4968,-10.0000,-0.0649,10.0000,12.9617,-0.001952,5.087241,-0.031451
4000,1550,0.5026,-10.0000,0.0516,10.0000,12.9116,0.007393,3.316157,-0.032696
4100,1523,0.5200,-10.0000,0.4005,10.0000,13.1320,0.002258,5.349230,-0.028577
4200,1503,0.5216,-10.0000,0.4325,10.0000,13.3081,-0.016506,5.163529,-0.030758
4300,1505,0.5236,-10.0000,0.4718,10.0000,13.2811,-0.002836,2.959202,-0.028284
4400,1505,0.5229,-10.0000,0.4585,10.0000,13.2890,-0.005123,2.905084,-0.023659
4500,1508,0.5106,-10.0000,0.2122,10.0000,13.2613,-0.021870,1.719586,-0.029755
4600,1496,0.5328,-10.0000,0.6551,10.0000,13.3750,-0.007096,2.969585,-0.025596
4700,1534,0.5013,-10.0000,0.0261,10.0000,13.0385,-0.004643,1.567307,-0.030716
4800,1528,0.5118,-10.0000,0.2356,10.0000,13.0877,-0.006485,3.586496,-0.030685
4900,1517,0.5221,-10.0000,0.4417,10.0000,13.1813,-0.010866,3.426811,-0.028054
5000,1459,0.5764,-10.0000,1.5284,10.0000,13.7087,0.014474,4.261159,-0.029236
5100,1453,0.5836,-10.0000,1.6724,10.0000,13.7605,-0.017335,3.766157,-0.028284
5200,1457,0.5861,-10.0000,1.7227,10.0000,13.7358,0.003976,3.897421,-0.024688
5300,1456,0.5762,-10.0000,1.5247,10.0000,13.7280,0.006301,4.161213,-0.024861
5400,1441,0.5926,-10.0000,1.8529,10.0000,13.8876,0.026058,3.216565,-0.028540
5500,1450,0.5752,-10.0000,1.5034,10.0000,13.7834,0.015375,5.705299,-0.026395
5600,1471,0.5527,-10.0000,1.0537,10.0000,13.6030,-0.006604,1.685729,-0.030121
5700,1453,0.5760,-10.0000,1.5210,10.0000,13.7598,0.006673,4.843355,-0.028593
5800,1488,0.5430,-10.0000,0.8602,10.0000,13.4476,0.004649,3.917992,-0.027948
5900,1457,0.5875,-10.0000,1.7502,10.0000,13.7186,-0.003298,4.048206,-0.022327
6000,1422,0.6287,-10.0000,2.5738,10.0000,14.0647,0.004897,3.201551,-0.022062
6100,1412,0.6424,-10.0000,2.8470,10.0000,14.1714,-0.016418,1.431938,-0.021339
6200,1397,0.6543,-10.0000,3.0852,10.0000,14.3193,-0.002395,1.119865,-0.020651
6300,1468,0.5851,-10.0000,1.7030,10.0000,13.6138,0.009580,2.866631,-0.034445
6400,1487,0.5521,-10.0000,1.0424,10.0000,13.4580,-0.002913,4.800355,-0.035532
6500,1470,0.5585,-10.0000,1.1701,10.0000,13.6061,0.006515,1.109782,-0.029662
6600,1480,0.5541,-10.0000,1.0811,10.0000,13.5135,-0.008006,2.195320,-0.032591
6700,1489,0.5527,-10.0000,1.0544,10.0000,13.4238,0.005254,4.093997,-0.034268
6800,1470,0.5694,-10.0000,1.3878,10.0000,13.6116,-0.011828,5.743424,-0.033219
6900,1458,0.5679,-10.0000,1.3580,10.0000,13.7195,-0.013309,3.212149,-0.031982
7000,1462,0.5739,-10.0000,1.4774,10.0000,13.6710,-0.001139,3.758396,-0.031058
7100,1497,0.5564,-10.0000,1.1289,10.0000,13.3701,-0.005184,3.926992,-0.030347
7200,1455,0.5924,-10.0000,1.8488,10.0000,13.7402,0.019165,3.458044,-0.023133
7300,1458,0.5892,-10.0000,1.7833,10.0000,13.7229,-0.000742,2.601924,-0.029048
7400,1486,0.5552,-10.0000,1.1036,10.0000,13.4502,-0.010530,1.399806,-0.023909
7500,1411,0.6244,-10.0000,2.4876,10.0000,14.1786,-0.027468,1.786211,-0.023527
7600,1424,0.6124,-10.0000,2.2472,10.0000,14.0407,0.007288,0.578735,-0.024047
7700,1412,0.6416,-10.0000,2.8329,10.0000,14.1721,0.011311,2.613145,-0.031039
7800,1400,0.6286,-10.0000,2.5714,10.0000,14.2843,0.003327,3.302744,-0.024329
7900,1438,0.5981,-10.0000,1.9611,10.0000,13.9089,-0.008771,3.375539,-0.029460
8000,1432,0.6034,-10.0000,2.0670,10.0000,13.9588,-0.001228,4.061729,-0.026380
8100,1401,0.6260,-10.0000,2.5196,10.0000,14.2655,-0.012720,3.021948,-0.033491
8200,1429,0.5934,-10.0000,1.8684,10.0000,14.0049,0.006767,2.481378,-0.028715
8300,1477,0.5694,-10.0000,1.3879,10.0000,13.5389,-0.018610,3.476840,-0.028703
8400,1479,0.5659,-10.0000,1.3185,10.0000,13.5247,0.016615,2.442363,-0.027539
8500,1432,0.6138,-10.0000,2.2765,10.0000,13.9637,-0.011915,3.550875,-0.025831
8600,1388,0.6643,-10.0000,3.2853,10.0000,14.4071,0.023102,3.646687,-0.024513
8700,1385,0.6671,-10.0000,3.3430,10.0000,14.4397,0.008498,3.567646,-0.022720
8800,1437,0.6221,-10.0000,2.4426,10.0000,13.9221,-0.014277,4.296736,-0.028497
8900,1396,0.6562,-10.0000,3.1232,10.0000,14.3231,-0.003008,1.295284,-0.022745
