Alice Training On size: w=20, h=5, c=4
batch,num_episodes,win_rate,min_score,avg_score,max_score,avg_length,actor_loss,value_loss,entropy_loss
100,430,0.1465,-10.0000,-7.0698,10.0000,23.2163,-0.773107,3.057614,-0.050414
200,480,0.1250,-10.0000,-7.5000,10.0000,20.8667,-0.523204,3.344901,-0.049517
300,457,0.1751,-10.0000,-6.4989,10.0000,21.8337,-0.199217,3.095938,-0.048867
400,464,0.1272,-10.0000,-7.4569,10.0000,21.5280,0.265839,3.413709,-0.051428
500,451,0.1486,-10.0000,-7.0288,10.0000,22.1973,0.381717,3.703517,-0.052089
600,428,0.1659,-10.0000,-6.6822,10.0000,23.4136,-0.504609,3.543263,-0.051006
700,478,0.1360,-10.0000,-7.2803,10.0000,20.8473,0.272083,3.570080,-0.050586
800,478,0.1318,-10.0000,-7.3640,10.0000,20.9895,0.029627,3.104101,-0.047886
900,450,0.1578,-10.0000,-6.8444,10.0000,22.1333,1.072587,3.585093,-0.043876
1000,462,0.1775,-10.0000,-6.4502,10.0000,21.7338,-0.101778,3.460972,-0.048609
1100,456,0.1601,-10.0000,-6.7982,10.0000,21.9057,0.437611,2.591678,-0.045674
1200,452,0.1881,-10.0000,-6.2389,10.0000,22.1504,0.007410,3.315083,-0.046503
1300,420,0.2024,-10.0000,-5.9524,10.0000,23.7357,0.111672,3.174176,-0.046904
1400,433,0.1709,-10.0000,-6.5820,10.0000,23.1155,0.647225,3.994552,-0.048955
1500,435,0.1747,-10.0000,-6.5057,10.0000,22.9954,-0.205061,3.119673,-0.048353
1600,435,0.1885,-10.0000,-6.2299,10.0000,22.9678,0.919419,4.505476,-0.046866
1700,446,0.1592,-10.0000,-6.8161,10.0000,22.4417,0.210522,2.853371,-0.046161
1800,448,0.1875,-10.0000,-6.2500,10.0000,22.3237,0.316257,3.435826,-0.046996
1900,406,0.2020,-10.0000,-5.9606,10.0000,24.6429,0.090130,2.977293,-0.044554
2000,467,0.1478,-10.0000,-7.0450,10.0000,21.4047,0.268462,3.972405,-0.052907
2100,464,0.1595,-10.0000,-6.8103,10.0000,21.5797,0.378086,4.119348,-0.044330
2200,426,0.1714,-10.0000,-6.5728,10.0000,23.4484,0.848167,4.379874,-0.047707
2300,424,0.1792,-10.0000,-6.4151,10.0000,23.6250,0.737634,3.561879,-0.041849
2400,444,0.1779,-10.0000,-6.4414,10.0000,22.5225,0.986188,5.256747,-0.043763
2500,416,0.2019,-10.0000,-5.9615,10.0000,24.0312,-0.054100,3.810324,-0.046884
2600,404,0.2104,-10.0000,-5.7921,10.0000,24.7302,-0.431141,2.017755,-0.041291
2700,409,0.2029,-10.0000,-5.9413,10.0000,24.4156,-0.643520,2.177800,-0.046388
2800,435,0.1885,-10.0000,-6.2299,10.0000,23.0115,-0.040238,2.743818,-0.048443
2900,409,0.1956,-10.0000,-6.0880,10.0000,24.4132,0.406021,4.561091,-0.047324
3000,378,0.2540,-10.0000,-4.9206,10.0000,26.4788,-0.345104,3.058895,-0.044827
3100,402,0.2264,-10.0000,-5.4726,10.0000,24.8184,0.241534,1.135331,-0.041144
3200,403,0.1985,-10.0000,-6.0298,10.0000,24.8734,-0.255243,4.261701,-0.048947
3300,425,0.2071,-10.0000,-5.8588,10.0000,23.5459,-0.482342,2.438492,-0.043981
3400,396,0.2096,-10.0000,-5.8081,10.0000,25.2904,-0.194090,4.006441,-0.046380
3500,418,0.1842,-10.0000,-6.3158,10.0000,23.9067,-0.489234,3.191860,-0.046990
3600,397,0.2116,-10.0000,-5.7683,10.0000,25.1310,0.725098,3.362823,-0.040366
3700,415,0.2169,-10.0000,-5.6627,10.0000,24.1494,-0.011456,2.470222,-0.040293
3800,433,0.1547,-10.0000,-6.9053,10.0000,23.0970,-0.045353,1.798748,-0.042385
3900,435,0.1908,-10.0000,-6.1839,10.0000,22.9195,0.278565,2.473688,-0.043445
4000,383,0.1984,-10.0000,-6.0313,10.0000,26.1619,0.379488,4.411502,-0.051016
4100,416,0.1659,-10.0000,-6.6827,10.0000,24.0385,-0.573030,3.014716,-0.048281
4200,434,0.1567,-10.0000,-6.8664,10.0000,23.0783,0.359664,2.808603,-0.040880
4300,408,0.1887,-10.0000,-6.2255,10.0000,24.5000,0.447564,4.052308,-0.047436
4400,392,0.2168,-10.0000,-5.6633,10.0000,25.5179,0.138155,2.436656,-0.042337
4500,428,0.1682,-10.0000,-6.6355,10.0000,23.3528,-0.111779,3.354047,-0.046469
4600,399,0.1980,-10.0000,-6.0401,10.0000,25.0251,0.769142,4.124883,-0.046525
4700,402,0.2065,-10.0000,-5.8706,10.0000,24.9303,0.444011,3.561070,-0.042700
4800,444,0.1757,-10.0000,-6.4865,10.0000,22.5045,0.794028,5.768894,-0.045663
4900,412,0.1772,-10.0000,-6.4563,10.0000,24.2330,0.275507,4.279723,-0.049769
5000,404,0.2104,-10.0000,-5.7921,10.0000,24.7005,-0.142538,3.021779,-0.042408
5100,409,0.1907,-10.0000,-6.1858,10.0000,24.5452,0.077713,3.264580,-0.044394
5200,397,0.2166,-10.0000,-5.6675,10.0000,25.2015,-0.704324,2.940411,-0.043872
5300,417,0.1751,-10.0000,-6.4988,10.0000,23.9329,-0.182934,2.069193,-0.045657
5400,387,0.1938,-10.0000,-6.1240,10.0000,25.8450,0.431055,1.188231,-0.042328
5500,423,0.1820,-10.0000,-6.3593,10.0000,23.6194,0.703232,4.800931,-0.046796
5600,414,0.2126,-10.0000,-5.7488,10.0000,24.1184,-0.203456,2.335319,-0.042224
5700,376,0.2580,-10.0000,-4.8404,10.0000,26.6915,0.158729,3.176296,-0.043112
5800,423,0.1844,-10.0000,-6.3121,10.0000,23.6265,0.949442,5.214805,-0.043186
5900,401,0.2020,-10.0000,-5.9601,10.0000,24.8928,-0.217092,2.196750,-0.043698
6000,400,0.2075,-10.0000,-5.8500,10.0000,25.0625,0.099507,1.507144,-0.038099
6100,401,0.1895,-10.0000,-6.2095,10.0000,24.8703,-0.035365,2.055608,-0.042446
6200,398,0.2261,-10.0000,-5.4774,10.0000,25.1307,0.907877,1.129839,-0.040332
6300,416,0.1947,-10.0000,-6.1058,10.0000,24.0649,-0.210955,2.556859,-0.045448
6400,408,0.2034,-10.0000,-5.9314,10.0000,24.5417,0.731061,5.384289,-0.042223
6500,399,0.2306,-10.0000,-5.3885,10.0000,25.0802,0.204558,3.906011,-0.038165
6600,390,0.2051,-10.0000,-5.8974,10.0000,25.6308,0.234145,4.605134,-0.049629
6700,407,0.1916,-10.0000,-6.1671,10.0000,24.5774,0.784166,5.548177,-0.042845
6800,428,0.1846,-10.0000,-6.3084,10.0000,23.3271,0.447131,2.848527,-0.043538
6900,429,0.1702,-10.0000,-6.5967,10.0000,23.3450,-0.140624,2.662848,-0.040811
7000,414,0.1787,-10.0000,-6.4251,10.0000,24.0556,0.430929,3.909164,-0.042097
7100,393,0.2112,-10.0000,-5.7761,10.0000,25.5013,0.664253,4.371394,-0.047033
7200,423,0.1678,-10.0000,-6.6430,10.0000,23.6809,0.222853,3.365305,-0.042549
7300,406,0.1970,-10.0000,-6.0591,10.0000,24.5985,0.129286,1.993762,-0.043965
7400,384,0.2135,-10.0000,-5.7292,10.0000,25.9714,-0.301929,1.592516,-0.039030
7500,390,0.2256,-10.0000,-5.4872,10.0000,25.7000,-0.086515,1.545506,-0.044170
7600,393,0.2290,-10.0000,-5.4198,10.0000,25.4504,-0.199007,2.388667,-0.044774
7700,389,0.2237,-10.0000,-5.5270,10.0000,25.7275,0.780078,5.497221,-0.041396
7800,412,0.1942,-10.0000,-6.1165,10.0000,24.2646,0.145238,3.287501,-0.042395
7900,408,0.2034,-10.0000,-5.9314,10.0000,24.4828,0.807041,4.883754,-0.045888
8000,411,0.1898,-10.0000,-6.2044,10.0000,24.3601,0.260961,4.601279,-0.047846
8100,387,0.2300,-10.0000,-5.4005,10.0000,25.8553,0.755936,5.831696,-0.039793
8200,368,0.2663,-10.0000,-4.6739,10.0000,27.1630,0.296294,2.993442,-0.040304
8300,404,0.2054,-10.0000,-5.8911,10.0000,24.6881,0.464817,3.144572,-0.038155
8400,415,0.2145,-10.0000,-5.7108,10.0000,24.1494,0.652591,3.529267,-0.037225
8500,381,0.2283,-10.0000,-5.4331,10.0000,26.2756,-0.415012,3.994509,-0.044133
